Property_ID,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2
56,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
57,FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
58,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
59,RL,Pave,No_Feature,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm
60,RL,Pave,No_Feature,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm
61,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm
62,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
63,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
64,RM,Pave,No_Feature,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr
65,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
66,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
67,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm
68,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
69,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm
70,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm
71,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
72,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm
73,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
74,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
75,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
76,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm
77,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
78,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm
79,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
80,RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
81,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
82,RM,Pave,No_Feature,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm
83,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
84,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
85,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
86,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm
87,RL,Pave,No_Feature,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
88,FV,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm
89,C (all),Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr
90,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
91,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
92,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
93,RL,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm
94,C (all),Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
95,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
96,RL,Pave,No_Feature,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
97,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
98,RL,Pave,No_Feature,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm
99,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
100,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
101,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
102,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
103,RL,Pave,No_Feature,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm
104,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
105,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm
106,FV,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
107,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
108,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
109,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Artery,Norm
110,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
111,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
112,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
113,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
114,RL,Pave,No_Feature,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm
115,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Mod,Crawfor,Norm,Norm
116,FV,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm
117,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
118,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
119,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm
120,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
121,RL,Pave,No_Feature,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm
122,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
123,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
124,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
125,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm
126,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
127,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm
128,RM,Pave,No_Feature,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm
129,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm
130,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
131,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
132,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
133,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
134,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm
135,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
136,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
137,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
138,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm
139,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
140,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
141,RL,Pave,No_Feature,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm
142,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
143,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm
144,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
145,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm
146,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
147,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm
148,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm
149,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
150,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm
151,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
152,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
153,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm
154,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm
155,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
156,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Artery,Norm
157,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
158,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm
159,FV,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm
160,RL,Pave,No_Feature,IR1,HLS,AllPub,Corner,Gtl,Gilbert,Norm,Norm
161,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm
162,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
163,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm
164,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
165,RM,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
166,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
167,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm
168,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
169,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
170,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm
171,RM,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm
172,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
173,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm
174,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
175,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm
176,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
177,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm
178,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
179,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm
180,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
181,FV,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
182,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm
183,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm
184,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
185,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr
186,RM,Pave,No_Feature,IR2,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm
187,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm
188,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
189,RL,Pave,No_Feature,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm
190,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm
191,RL,Pave,No_Feature,Reg,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm
192,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm
193,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
194,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
195,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
196,RL,Pave,No_Feature,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm
197,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
198,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm
199,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
200,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
201,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
202,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm
203,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm
204,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
205,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
206,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
207,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm
208,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
209,RL,Pave,No_Feature,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm
210,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
211,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
212,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm
213,FV,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
214,RL,Pave,No_Feature,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm
215,RL,Pave,No_Feature,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm
216,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
217,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
218,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
219,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm
220,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm
221,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
222,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
223,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm
224,RL,Pave,No_Feature,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm
225,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
226,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
227,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm
228,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
229,RL,Pave,No_Feature,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm
230,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm
231,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
232,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm
233,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
234,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
235,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
236,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm
237,RL,Pave,No_Feature,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm
238,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm
239,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
240,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
241,FV,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
242,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
243,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
244,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm
245,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
246,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
247,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
248,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
249,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
250,RL,Pave,No_Feature,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm
251,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm
252,RM,Pave,No_Feature,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm
253,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm
254,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
255,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
256,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm
257,FV,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
258,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
259,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
260,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
261,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm
262,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
263,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm
264,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm
265,RM,Pave,Grvl,IR3,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm
266,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm
267,RL,Pave,No_Feature,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm
268,RL,Pave,No_Feature,Reg,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm
