Property_ID,TotalBsmtSF,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2
51,794,182,0,612,0,1,Gd,TA,Av,GLQ,Unf
52,816,0,0,816,0,0,TA,TA,No,Unf,Unf
53,816,104,712,0,1,0,Gd,TA,Gd,LwQ,GLQ
54,1842,1810,0,32,2,0,Ex,TA,Gd,GLQ,Unf
55,384,384,0,0,0,0,TA,TA,No,ALQ,Unf
56,1425,490,0,935,0,0,TA,TA,No,BLQ,Unf
57,970,649,0,321,1,0,Gd,TA,No,GLQ,Unf
58,860,0,0,860,0,0,Gd,TA,No,Unf,Unf
59,1410,0,0,1410,0,0,Ex,TA,Gd,Unf,Unf
60,780,632,0,148,0,0,TA,TA,Av,ALQ,Unf
61,1158,941,0,217,1,0,Gd,TA,No,ALQ,Unf
62,530,0,0,530,0,0,TA,Fa,No,Unf,Unf
63,1370,24,0,1346,0,0,Gd,Gd,Mn,GLQ,Unf
64,576,0,0,576,0,0,TA,TA,No,Unf,Unf
65,1057,739,0,318,1,0,Gd,TA,No,GLQ,Unf
66,1143,0,0,1143,0,0,Ex,TA,Av,Unf,Unf
67,1947,912,0,1035,1,0,Gd,TA,Gd,GLQ,Unf
68,1453,1013,0,440,1,0,Gd,TA,Av,GLQ,Unf
69,747,0,0,747,0,0,TA,TA,No,Unf,Unf
70,1304,603,0,701,0,0,TA,TA,No,BLQ,Unf
71,2223,1880,0,343,1,0,Gd,TA,Gd,ALQ,Unf
72,845,565,0,280,1,0,TA,TA,No,ALQ,Unf
73,832,0,0,832,0,0,Gd,TA,No,Unf,Unf
74,1086,320,362,404,1,0,TA,TA,No,ALQ,BLQ
75,840,0,0,840,0,0,Fa,TA,No,Unf,Unf
76,462,462,0,0,1,0,Gd,TA,Gd,GLQ,Unf
77,952,228,0,724,0,0,TA,TA,No,ALQ,Unf
78,672,336,41,295,1,0,TA,TA,No,BLQ,GLQ
79,1768,0,0,1768,0,0,TA,TA,No,Unf,Unf
80,440,0,0,440,0,0,TA,TA,No,Unf,Unf
81,896,448,0,448,0,0,Gd,TA,No,Rec,Unf
82,1237,1201,0,36,1,0,Ex,Gd,No,GLQ,Unf
83,1563,33,0,1530,0,0,Gd,TA,No,GLQ,Unf
84,1065,0,0,1065,0,0,TA,TA,No,Unf,Unf
85,384,0,0,384,0,0,Gd,TA,No,Unf,Unf
86,1288,0,0,1288,0,0,Gd,TA,No,Unf,Unf
87,684,0,0,684,0,0,Gd,TA,Av,Unf,Unf
88,612,0,0,612,0,0,Gd,TA,Av,Unf,Unf
89,1013,0,0,1013,0,0,TA,Fa,No,Unf,Unf
90,990,588,0,402,1,0,Gd,TA,No,GLQ,Unf
91,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
92,1235,600,0,635,0,0,TA,TA,No,Rec,Unf
93,876,713,0,163,1,0,Gd,TA,No,ALQ,Unf
94,1214,1046,0,168,0,1,TA,Fa,Mn,Rec,Unf
95,824,648,0,176,1,0,Gd,TA,No,GLQ,Unf
96,680,310,0,370,0,0,Gd,Gd,No,ALQ,Unf
97,1588,1162,0,426,0,0,Gd,TA,Av,ALQ,Unf
98,960,520,0,440,1,0,TA,TA,No,Rec,Unf
99,458,108,0,350,0,0,TA,TA,No,ALQ,Unf
100,950,569,0,381,1,0,TA,TA,No,ALQ,Unf
101,1610,1200,0,410,1,0,TA,TA,Mn,ALQ,Unf
102,741,0,0,741,0,0,Gd,TA,No,Unf,Unf
103,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
104,1226,0,0,1226,0,0,Gd,TA,No,Unf,Unf
105,1040,224,0,816,0,0,TA,TA,No,LwQ,Unf
106,1053,0,0,1053,0,0,Ex,TA,No,Unf,Unf
107,641,0,0,641,0,0,Fa,TA,No,Unf,Unf
108,789,104,169,516,0,0,TA,TA,No,ALQ,BLQ
109,793,0,0,793,0,0,TA,TA,No,Unf,Unf
110,1844,705,0,1139,0,0,Gd,TA,No,BLQ,Unf
111,994,444,0,550,0,0,TA,Fa,No,Rec,Unf
112,384,250,0,134,0,0,Gd,TA,No,GLQ,Unf
113,1264,984,0,280,1,0,Ex,TA,Av,GLQ,Unf
114,1809,35,869,905,1,0,Gd,TA,Mn,ALQ,Rec
115,1028,774,150,104,1,0,TA,TA,No,ALQ,LwQ
116,729,419,0,310,0,0,Gd,TA,No,GLQ,Unf
117,1092,170,670,252,0,1,TA,TA,No,LwQ,BLQ
118,1125,0,0,1125,0,0,Gd,TA,No,Unf,Unf
119,1673,1470,0,203,1,0,Gd,TA,Mn,GLQ,Unf
120,728,0,0,728,0,0,Gd,TA,No,Unf,Unf
121,938,938,0,0,1,0,TA,TA,Gd,ALQ,Unf
122,732,0,0,732,0,0,TA,TA,No,Unf,Unf
123,1080,570,0,510,0,0,TA,TA,No,BLQ,Unf
124,1199,300,0,899,0,0,Gd,TA,No,GLQ,Unf
125,1362,0,0,1362,0,0,Gd,Fa,No,Unf,Unf
126,520,490,0,30,1,0,TA,TA,Av,GLQ,Unf
127,1078,120,0,958,0,0,Gd,TA,No,ALQ,Unf
128,672,116,0,556,0,0,TA,TA,No,LwQ,Unf
129,660,512,0,148,0,0,TA,TA,No,BLQ,Unf
130,1008,567,28,413,0,1,TA,TA,No,Rec,BLQ
131,924,445,0,479,0,0,TA,TA,No,Rec,Unf
132,992,695,0,297,1,0,Gd,TA,No,GLQ,Unf
133,1063,405,0,658,1,0,TA,TA,No,Rec,Unf
134,1267,1005,0,262,1,0,Ex,TA,No,GLQ,Unf
135,1461,570,0,891,0,0,TA,TA,No,Rec,Unf
136,1304,0,0,1304,0,0,TA,TA,No,Unf,Unf
137,1214,695,0,519,0,0,TA,TA,No,BLQ,Unf
138,1907,0,0,1907,0,0,TA,TA,No,Unf,Unf
139,1004,668,0,336,0,0,Gd,TA,Mn,GLQ,Unf
140,928,821,0,107,1,0,Gd,TA,No,GLQ,Unf
141,864,432,0,432,0,0,TA,TA,No,ALQ,Unf
142,1734,1300,0,434,1,0,Gd,TA,Av,GLQ,Unf
143,910,507,0,403,0,0,TA,TA,No,Rec,Unf
144,1490,679,0,811,1,0,Gd,TA,Gd,GLQ,Unf
145,1728,1332,0,396,1,0,TA,TA,No,Rec,Unf
146,970,0,0,970,0,0,Gd,TA,No,Unf,Unf
147,715,209,0,506,1,0,TA,TA,No,BLQ,Unf
148,884,0,0,884,0,0,Gd,TA,No,Unf,Unf
149,1080,680,0,400,1,0,Gd,TA,No,GLQ,Unf
150,896,0,0,896,0,0,Gd,TA,No,Unf,Unf
151,969,716,0,253,0,0,TA,TA,Av,BLQ,Unf
152,1710,1400,0,310,1,0,Ex,TA,Gd,GLQ,Unf
153,825,416,0,409,0,0,TA,TA,No,Rec,Unf
154,1602,429,1080,93,1,0,Gd,TA,Gd,BLQ,ALQ
155,1200,0,0,1200,0,0,TA,TA,No,Unf,Unf
156,572,0,0,572,0,0,TA,TA,No,Unf,Unf
157,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
158,774,0,0,774,0,0,Ex,TA,No,Unf,Unf
159,991,222,0,769,0,0,Gd,TA,No,GLQ,Unf
160,1392,57,0,1335,1,0,Gd,TA,Mn,GLQ,Unf
161,1232,660,0,572,0,0,Gd,TA,No,BLQ,Unf
162,1572,1016,0,556,1,0,Ex,TA,Av,GLQ,Unf
163,1541,1201,0,340,0,0,Gd,TA,Mn,BLQ,Unf
164,882,0,0,882,0,0,TA,TA,No,Unf,Unf
165,1149,370,0,779,0,0,TA,TA,Mn,LwQ,Unf
166,644,351,181,112,1,0,TA,TA,No,ALQ,Rec
167,1617,379,768,470,1,0,TA,TA,No,LwQ,BLQ
168,1582,1288,0,294,1,0,Ex,TA,No,GLQ,Unf
169,840,0,0,840,0,0,Gd,TA,No,Unf,Unf
170,1686,0,0,1686,0,0,Gd,TA,No,Unf,Unf
171,720,360,0,360,0,0,TA,TA,No,Rec,Unf
172,1080,639,0,441,1,0,TA,Gd,Gd,BLQ,Unf
173,1064,495,215,354,1,0,Gd,Gd,No,GLQ,Rec
174,1362,288,374,700,1,0,TA,TA,No,ALQ,Rec
175,1606,1398,208,0,1,0,Gd,Fa,No,ALQ,LwQ
176,1202,477,0,725,1,0,TA,Gd,Av,ALQ,Unf
177,1151,831,0,320,0,1,Gd,TA,No,GLQ,Unf
178,1052,57,441,554,1,0,TA,TA,No,ALQ,BLQ
179,2216,1904,0,312,1,0,Ex,TA,No,GLQ,Unf
180,968,0,0,968,0,0,TA,TA,No,Unf,Unf
181,756,436,0,320,0,0,Gd,TA,No,GLQ,Unf
182,793,352,0,441,0,0,Fa,TA,No,LwQ,Unf
183,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
184,1362,0,0,1362,0,0,Gd,TA,No,Unf,Unf
185,504,0,0,504,0,0,Fa,TA,No,Unf,Unf
186,1107,0,0,1107,0,0,TA,TA,Mn,Unf,Unf
187,1188,611,0,577,1,0,Gd,TA,Av,GLQ,Unf
188,660,0,0,660,0,0,Fa,TA,No,Unf,Unf
189,1086,1086,0,0,2,0,Gd,TA,Av,GLQ,Unf
190,1593,1153,0,440,1,0,Ex,TA,Av,GLQ,Unf
191,853,297,0,556,0,0,Gd,Gd,No,Rec,Unf
192,725,626,0,99,1,0,TA,TA,No,ALQ,Unf
193,1431,560,0,871,1,0,Gd,TA,Av,GLQ,Unf
194,970,0,0,970,0,0,Gd,TA,No,Unf,Unf
195,864,390,0,474,0,0,TA,TA,Av,ALQ,Unf
196,855,566,0,289,0,0,Gd,TA,No,ALQ,Unf
197,1726,1126,0,600,1,0,Ex,TA,No,GLQ,Unf
198,1360,1036,184,140,1,1,TA,TA,No,GLQ,LwQ
199,755,0,0,755,0,0,TA,TA,No,Unf,Unf
200,1713,1088,0,625,1,0,Ex,TA,Av,GLQ,Unf
201,1121,0,0,1121,0,0,Gd,TA,No,Unf,Unf
202,1196,641,279,276,0,1,TA,TA,No,ALQ,LwQ
203,617,617,0,0,0,0,Fa,TA,No,LwQ,Unf
204,848,662,0,186,1,0,Gd,TA,Av,GLQ,Unf
205,720,312,0,408,0,0,TA,TA,No,LwQ,Unf
206,1424,0,0,1424,0,0,Gd,TA,No,Unf,Unf
207,1140,0,0,1140,0,0,TA,TA,No,Unf,Unf
208,1100,419,306,375,1,0,TA,TA,No,ALQ,Rec
209,1157,1065,0,92,1,0,Gd,TA,Gd,GLQ,Unf
210,1092,787,0,305,1,0,Gd,TA,No,Rec,Unf
211,864,468,0,396,1,0,TA,TA,No,Rec,Unf
212,1212,36,0,1176,0,0,Gd,TA,Mn,GLQ,Unf
213,900,822,0,78,1,0,Gd,TA,No,GLQ,Unf
214,990,716,0,274,0,1,Gd,TA,No,ALQ,Unf
215,689,378,0,311,0,0,Gd,TA,No,GLQ,Unf
216,1070,360,0,710,0,1,TA,TA,No,BLQ,Unf
217,1436,946,0,490,1,0,Gd,TA,Mn,GLQ,Unf
218,686,0,0,686,0,0,TA,TA,No,Unf,Unf
219,798,341,0,457,0,1,TA,TA,No,BLQ,Unf
220,1248,16,0,1232,0,0,Gd,TA,Av,GLQ,Unf
221,1498,0,0,1498,0,0,Gd,TA,Mn,Unf,Unf
222,1010,0,0,1010,0,0,Gd,TA,No,Unf,Unf
223,713,550,0,163,1,0,Gd,TA,No,ALQ,Unf
224,864,524,180,160,0,0,TA,TA,No,ALQ,LwQ
225,2392,56,0,2336,0,0,Ex,TA,Gd,GLQ,Unf
226,630,0,0,630,0,0,TA,TA,No,Unf,Unf
227,1203,565,0,638,0,0,Gd,TA,No,GLQ,Unf
228,483,321,0,162,0,0,TA,TA,No,Rec,Unf
229,912,842,0,70,0,0,TA,TA,No,ALQ,Unf
230,1373,16,0,1357,0,0,Gd,TA,Av,GLQ,Unf
231,1194,0,0,1194,1,0,TA,TA,No,Unf,Unf
232,1462,689,0,773,1,0,Gd,TA,No,GLQ,Unf
233,483,0,0,483,0,0,TA,TA,No,Unf,Unf
234,894,182,712,0,1,0,TA,Gd,Av,LwQ,ALQ
235,860,625,0,235,1,0,Gd,TA,No,GLQ,Unf
236,483,358,0,125,0,0,TA,TA,No,ALQ,Unf
237,1414,24,0,1390,0,0,Gd,TA,Av,GLQ,Unf
238,996,402,0,594,0,0,Gd,TA,No,BLQ,Unf
239,1694,0,0,1694,0,0,Ex,TA,No,Unf,Unf
240,735,94,0,641,0,0,TA,Fa,No,LwQ,Unf
241,1566,1078,0,488,1,0,Gd,TA,Av,GLQ,Unf
242,686,329,0,357,0,0,TA,TA,No,ALQ,Unf
243,540,0,0,540,0,0,TA,TA,No,Unf,Unf
244,626,0,0,626,0,0,Gd,TA,No,Unf,Unf
245,948,695,0,253,1,0,Gd,TA,No,GLQ,Unf
246,1845,929,0,916,0,1,Gd,TA,Av,GLQ,Unf
247,1020,0,0,1020,0,0,Fa,TA,No,Unf,Unf
248,1367,0,0,1367,0,0,TA,TA,No,Unf,Unf
249,840,0,0,840,0,0,Gd,TA,No,Unf,Unf
250,1444,697,0,747,0,1,Gd,TA,Gd,Rec,Unf
251,728,0,0,728,0,0,TA,TA,No,Unf,Unf
252,1573,1573,0,0,1,1,Gd,TA,Gd,GLQ,Unf
253,798,0,0,798,0,0,Gd,TA,No,Unf,Unf
254,1302,270,580,452,0,1,Gd,TA,Gd,LwQ,ALQ
255,1314,922,0,392,1,0,TA,TA,No,Rec,Unf
256,975,0,0,975,0,0,Gd,TA,No,Unf,Unf
257,864,503,0,361,0,0,Gd,TA,No,Rec,Unf
258,1604,1334,0,270,1,0,Gd,TA,No,GLQ,Unf
259,963,361,0,602,0,0,Gd,TA,No,GLQ,Unf
260,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
261,1362,672,690,0,1,0,TA,TA,Gd,Rec,ALQ
262,1482,0,0,1482,0,0,Ex,TA,No,Unf,Unf
263,506,506,0,0,1,0,Gd,Gd,Av,ALQ,Unf
264,926,234,692,0,1,0,TA,TA,No,LwQ,ALQ
265,680,0,0,680,0,0,Fa,TA,No,Unf,Unf
266,1422,588,228,606,0,0,Gd,TA,No,GLQ,LwQ
267,802,714,0,88,1,0,Gd,TA,Av,GLQ,Unf
268,720,378,0,342,0,0,TA,TA,No,LwQ,Unf
269,740,403,125,212,0,0,TA,TA,No,ALQ,Rec
270,1143,751,0,392,1,0,TA,Gd,No,BLQ,Unf
271,1095,0,0,1095,0,0,Gd,TA,Mn,Unf,Unf
272,1385,226,1063,96,1,0,Gd,TA,Gd,LwQ,GLQ
273,1152,524,0,628,0,0,Gd,TA,No,GLQ,Unf
274,1240,620,620,0,1,0,TA,TA,No,Rec,LwQ
275,816,546,0,270,0,0,TA,TA,Gd,ALQ,Unf
276,952,0,0,952,0,0,TA,TA,No,Unf,Unf
277,1560,0,0,1560,0,0,Ex,TA,No,Unf,Unf
278,864,120,0,744,0,0,TA,TA,No,LwQ,Unf
279,2121,0,0,2121,0,0,Ex,TA,Gd,Unf,Unf
280,1160,392,0,768,0,0,Gd,TA,No,BLQ,Unf
281,807,421,0,386,0,0,Gd,TA,Av,GLQ,Unf
282,1262,905,0,357,0,0,Gd,TA,No,GLQ,Unf
283,1314,904,0,410,1,0,Gd,TA,No,GLQ,Unf
284,1468,0,0,1468,0,0,Gd,TA,No,Unf,Unf
285,1575,430,0,1145,1,0,Gd,TA,No,GLQ,Unf
286,625,0,0,625,0,0,Gd,TA,No,Unf,Unf
287,912,600,0,312,0,0,TA,TA,No,Rec,Unf
288,858,614,0,244,0,0,TA,TA,No,BLQ,Unf
289,882,450,0,432,0,0,TA,TA,No,BLQ,Unf
290,698,0,0,698,0,0,TA,TA,No,Unf,Unf
291,1079,0,0,1079,0,0,Gd,TA,Av,Unf,Unf
292,780,210,0,570,1,0,TA,Fa,No,Rec,Unf
293,768,292,0,476,0,0,TA,TA,No,LwQ,Unf
294,795,795,0,0,1,0,TA,TA,No,ALQ,Unf
295,1416,1285,0,131,1,0,TA,TA,No,GLQ,Unf
296,1003,819,0,184,1,0,TA,TA,Av,GLQ,Unf
297,910,420,0,490,0,0,TA,TA,No,BLQ,Unf
298,975,649,0,326,0,0,Gd,TA,No,BLQ,Unf
299,702,384,175,143,0,1,TA,TA,No,ALQ,Rec
300,1092,0,0,1092,0,1,TA,TA,No,Unf,Unf
301,1165,841,0,324,1,0,TA,TA,Mn,BLQ,Unf
302,1028,281,0,747,0,0,Gd,TA,No,GLQ,Unf
303,1541,0,0,1541,0,0,Gd,TA,No,Unf,Unf
304,894,894,0,0,1,0,TA,TA,No,ALQ,Unf
305,1470,0,0,1470,0,0,TA,TA,No,Unf,Unf
306,2000,1464,0,536,1,0,Gd,TA,No,GLQ,Unf
307,700,700,0,0,1,0,Gd,TA,No,ALQ,Unf
308,319,0,0,319,0,0,TA,TA,No,Unf,Unf
309,861,262,0,599,0,0,TA,TA,No,BLQ,Unf
310,1896,1274,0,622,1,0,Ex,TA,Gd,GLQ,Unf
311,697,518,0,179,0,0,Gd,TA,No,ALQ,Unf
312,972,680,0,292,1,0,TA,TA,No,ALQ,Unf
313,793,507,0,286,1,0,Gd,TA,Mn,Rec,Unf
314,2136,1236,820,80,2,0,Gd,TA,Gd,ALQ,Rec
315,728,16,0,712,0,1,TA,Gd,No,LwQ,Unf
316,716,425,0,291,1,0,Gd,TA,No,GLQ,Unf
317,845,692,0,153,1,0,Gd,TA,No,GLQ,Unf
318,1088,0,0,1088,0,0,Gd,TA,Av,Unf,Unf
319,1347,987,0,360,1,0,Gd,TA,Gd,GLQ,Unf
320,1372,1036,0,336,1,0,Gd,TA,Av,GLQ,Unf
321,1249,0,0,1249,0,0,Ex,Gd,Av,Unf,Unf
322,1136,970,0,166,1,0,Ex,TA,Av,GLQ,Unf
323,1502,28,1474,0,1,0,TA,TA,Gd,LwQ,ALQ
324,1162,256,0,906,1,0,TA,TA,No,ALQ,Unf
325,710,0,0,710,0,0,Gd,TA,No,Unf,Unf
326,720,116,0,604,0,0,TA,TA,Av,BLQ,Unf
327,1719,1619,0,100,2,0,Gd,TA,Gd,GLQ,Unf
328,1383,565,0,818,0,0,TA,TA,No,Rec,Unf
329,844,0,0,844,0,0,TA,TA,No,Unf,Unf
330,596,0,0,596,0,0,TA,TA,Mn,Unf,Unf
331,1728,40,264,1424,0,1,TA,TA,No,GLQ,Rec
332,1056,846,0,210,1,0,TA,TA,No,Rec,Unf
333,3206,1124,479,1603,1,0,Gd,TA,No,GLQ,No_Feature
334,1358,720,0,638,1,0,Gd,TA,Av,GLQ,Unf
335,943,828,0,115,1,0,Gd,TA,Gd,GLQ,Unf
336,1499,1249,147,103,2,0,TA,TA,Gd,ALQ,BLQ
337,1922,1249,0,673,1,0,Ex,TA,Gd,GLQ,Unf
338,1536,810,0,726,1,0,Gd,TA,Av,GLQ,Unf
339,1208,213,0,995,1,0,Gd,TA,Mn,ALQ,Unf
340,1215,585,0,630,0,0,TA,Fa,No,Rec,Unf
341,967,0,0,967,0,0,Gd,TA,No,Unf,Unf
342,721,0,0,721,0,0,TA,Fa,No,Unf,Unf
343,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
344,1684,28,0,1656,0,0,Ex,TA,No,GLQ,Unf
345,536,129,232,175,0,0,Gd,TA,No,Rec,BLQ
346,972,0,0,972,0,0,TA,TA,No,Unf,Unf
347,958,498,0,460,0,0,TA,TA,Mn,BLQ,Unf
348,1478,1270,0,208,1,0,TA,TA,No,BLQ,Unf
349,764,573,0,191,1,0,Gd,TA,No,GLQ,Unf
350,1848,1410,0,438,1,0,Ex,TA,No,GLQ,Unf
351,1869,0,0,1869,0,0,Ex,TA,No,Unf,Unf
352,1453,1082,0,371,1,0,Gd,TA,Gd,GLQ,Unf
353,616,236,380,0,0,1,TA,Fa,Mn,LwQ,Rec
354,624,0,0,624,0,0,TA,TA,No,Unf,Unf
355,940,388,0,552,0,0,TA,TA,No,LwQ,Unf
356,1200,334,544,322,1,0,Gd,Gd,No,ALQ,BLQ
357,1158,560,0,598,1,0,Gd,TA,No,GLQ,Unf
358,1142,874,0,268,1,0,Gd,TA,No,ALQ,Unf
359,1062,300,294,468,0,1,TA,TA,Av,BLQ,Rec
360,1086,956,0,130,1,0,Gd,TA,Av,GLQ,Unf
361,888,773,0,115,1,0,Gd,TA,Av,GLQ,Unf
362,883,399,0,484,1,0,TA,TA,No,Rec,Unf
363,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
364,483,162,0,321,0,0,TA,TA,No,ALQ,Unf
365,796,712,0,84,1,0,Gd,TA,Mn,GLQ,Unf
366,672,456,0,216,0,0,TA,Fa,No,Rec,Unf
367,1394,609,0,785,1,0,Gd,TA,No,BLQ,Unf
368,1099,371,0,728,0,1,Gd,TA,Gd,GLQ,Unf
369,1268,540,0,728,0,0,TA,TA,No,LwQ,Unf
370,1063,72,258,733,1,0,TA,TA,No,ALQ,Rec
371,953,0,0,953,0,0,Gd,TA,No,Unf,Unf
372,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
373,744,623,121,0,1,0,Gd,TA,No,ALQ,LwQ
374,608,428,180,0,1,0,TA,TA,No,BLQ,LwQ
375,847,0,0,847,0,0,Gd,TA,No,Unf,Unf
376,683,350,0,333,1,0,Fa,Po,Gd,BLQ,Unf
377,870,298,0,572,0,0,Gd,TA,Av,GLQ,Unf
378,1580,0,0,1580,0,0,Gd,TA,No,Unf,Unf
379,1856,1445,0,411,1,0,Ex,TA,Av,GLQ,Unf
380,982,0,0,982,0,0,Gd,TA,No,Unf,Unf
381,1026,218,0,808,0,0,TA,TA,No,LwQ,Unf
382,1293,0,0,1293,1,0,Gd,Gd,No,Unf,Unf
383,939,0,0,939,0,0,Gd,TA,Av,Unf,Unf
384,784,0,0,784,0,0,Fa,Fa,No,Unf,Unf
385,1580,985,0,595,1,0,Gd,TA,Av,GLQ,Unf
386,1256,24,0,1232,0,0,Gd,TA,No,GLQ,Unf
387,658,0,0,658,0,0,TA,TA,No,Unf,Unf
388,1041,631,0,410,1,0,TA,TA,Av,ALQ,Unf
389,1468,0,0,1468,0,0,Gd,TA,No,Unf,Unf
390,1682,1280,0,402,1,0,Ex,TA,Av,GLQ,Unf
391,861,241,391,229,1,0,TA,Gd,No,Rec,BLQ
392,804,690,0,114,1,0,Ex,TA,No,ALQ,Unf
393,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
394,788,266,0,522,0,0,TA,TA,No,Rec,Unf
395,735,0,0,735,0,0,TA,TA,No,Unf,Unf
396,1144,739,0,405,1,0,TA,TA,Av,BLQ,Unf
397,894,777,0,117,0,0,TA,TA,Av,Rec,Unf
398,864,540,0,324,0,0,TA,TA,No,ALQ,Unf
399,961,0,0,961,0,0,Fa,Po,No,Unf,Unf
400,1092,812,0,280,1,0,Gd,TA,No,GLQ,Unf
401,1260,786,0,474,1,0,Gd,TA,No,GLQ,Unf
402,1310,24,0,1286,0,0,Gd,TA,Av,GLQ,Unf
403,672,0,0,672,0,0,TA,TA,No,Unf,Unf
404,1141,0,0,1141,0,0,Gd,TA,No,Unf,Unf
405,806,0,0,806,0,0,Gd,TA,No,Unf,Unf
406,1281,1116,0,165,1,0,TA,TA,No,BLQ,Unf
407,1064,0,0,1064,0,0,TA,TA,No,Unf,Unf
408,840,0,0,840,0,0,Gd,TA,No,Unf,Unf
409,1063,0,0,1063,0,0,Ex,Gd,No,Unf,Unf
410,1034,789,0,245,1,0,Ex,TA,No,GLQ,Unf
411,1276,0,0,1276,0,0,TA,Fa,No,Unf,Unf
412,1056,1056,0,0,1,0,TA,TA,Mn,Rec,Unf
413,1470,578,0,892,1,0,Ex,TA,Av,GLQ,Unf
414,1008,0,0,1008,0,0,TA,TA,No,Unf,Unf
415,1080,50,531,499,0,1,Gd,TA,No,BLQ,GLQ
416,1340,24,0,1316,0,0,Gd,TA,Av,GLQ,Unf
417,672,209,0,463,0,0,TA,TA,No,ALQ,Unf
418,1370,1128,0,242,1,0,Gd,TA,No,BLQ,Unf
