Property_ID,OverallQual,OverallCond,ExterQual,ExterCond,KitchenQual,FireplaceQu,TotalBathrooms,IsRemodeled
44,5,6,TA,TA,TA,No_Feature,2.0,1
45,5,6,TA,TA,TA,No_Feature,2.0,0
46,9,5,Ex,TA,Ex,Gd,3.0,0
47,7,5,Gd,TA,Gd,Ex,2.5,0
48,8,5,Gd,TA,Gd,No_Feature,2.0,0
49,4,5,TA,TA,TA,No_Feature,2.0,1
50,5,7,TA,TA,TA,No_Feature,2.0,0
51,6,6,TA,TA,TA,No_Feature,2.5,0
52,6,6,TA,TA,TA,Gd,1.0,1
53,5,5,Fa,TA,TA,No_Feature,2.0,0
54,9,5,Gd,TA,Gd,Gd,2.5,1
55,5,5,TA,TA,TA,TA,1.0,0
56,6,5,TA,TA,TA,Gd,2.0,0
57,8,5,Gd,TA,Gd,No_Feature,3.5,1
58,7,5,Gd,TA,Gd,No_Feature,2.5,0
59,10,5,Ex,TA,Gd,Gd,3.5,0
60,5,7,TA,TA,TA,No_Feature,1.0,0
61,6,5,TA,TA,Gd,No_Feature,2.5,0
62,5,7,TA,TA,Fa,No_Feature,1.0,1
63,8,5,Gd,TA,Gd,Gd,2.0,0
64,7,6,TA,TA,TA,No_Feature,2.0,1
65,7,5,TA,TA,Gd,No_Feature,3.5,1
66,8,5,Gd,TA,Gd,Gd,2.5,1
67,7,5,TA,TA,TA,Gd,3.0,1
68,7,5,Gd,TA,Gd,No_Feature,3.0,0
69,4,6,TA,Gd,TA,No_Feature,1.0,1
70,7,4,Gd,TA,TA,TA,2.0,0
71,7,6,TA,Gd,TA,Gd,3.0,0
72,4,6,TA,TA,TA,No_Feature,2.0,1
73,7,5,TA,TA,TA,TA,2.5,0
74,5,7,TA,TA,TA,No_Feature,2.0,1
75,3,6,Gd,Gd,TA,No_Feature,2.0,1
76,4,5,TA,TA,TA,No_Feature,2.0,0
77,4,7,TA,TA,TA,No_Feature,1.0,0
78,5,5,TA,TA,TA,No_Feature,2.0,1
79,4,5,TA,TA,TA,No_Feature,2.0,0
80,5,6,TA,TA,TA,No_Feature,1.5,1
81,6,6,TA,Gd,Gd,Gd,2.5,0
82,6,5,TA,Gd,TA,No_Feature,3.0,0
83,8,5,TA,TA,Gd,Gd,2.0,0
84,5,5,TA,TA,TA,No_Feature,1.5,0
85,7,5,TA,TA,TA,TA,2.5,1
86,8,5,Gd,TA,Gd,TA,2.5,1
87,6,5,Gd,TA,Gd,Gd,2.5,0
88,6,5,Gd,TA,Gd,No_Feature,2.5,0
89,3,2,Fa,Fa,Fa,No_Feature,1.0,1
90,4,5,TA,TA,TA,No_Feature,2.0,1
91,4,5,TA,TA,TA,No_Feature,1.0,0
92,5,3,TA,TA,TA,No_Feature,1.0,0
93,5,7,TA,Gd,TA,No_Feature,2.0,1
94,6,6,TA,TA,TA,Gd,2.5,1
95,6,5,TA,Gd,Gd,No_Feature,3.5,0
96,6,8,Ex,Gd,TA,TA,2.5,0
97,7,5,Gd,TA,Gd,No_Feature,2.0,0
98,4,5,TA,TA,TA,No_Feature,2.0,0
99,5,5,TA,TA,TA,No_Feature,1.0,1
100,4,5,TA,TA,TA,No_Feature,2.5,0
101,6,7,TA,TA,Gd,TA,3.0,1
102,6,5,Gd,TA,Gd,TA,2.5,0
103,5,5,TA,Fa,TA,No_Feature,2.0,0
104,7,5,TA,TA,Gd,No_Feature,2.0,0
105,7,4,TA,Fa,TA,TA,1.5,1
106,8,5,Gd,TA,Gd,Gd,2.5,1
107,4,7,TA,TA,TA,No_Feature,1.0,1
108,5,5,TA,TA,TA,No_Feature,1.0,1
109,5,7,TA,TA,Fa,No_Feature,2.0,1
110,6,6,TA,TA,TA,TA,2.0,0
111,6,4,TA,TA,TA,No_Feature,2.0,1
112,7,5,TA,TA,TA,TA,2.5,0
113,7,5,Gd,TA,Ex,Gd,3.5,0
114,6,5,TA,Gd,Gd,Gd,3.0,0
115,6,8,TA,TA,Gd,TA,3.5,1
116,6,5,TA,TA,TA,Fa,2.5,0
117,5,5,TA,TA,TA,Po,1.5,0
118,5,5,TA,TA,TA,No_Feature,1.5,1
119,7,5,TA,TA,Gd,TA,4.0,0
120,6,5,Gd,TA,Gd,Gd,2.5,1
121,6,5,TA,TA,TA,TA,2.0,0
122,4,5,TA,TA,TA,No_Feature,1.0,1
123,6,7,TA,Gd,TA,No_Feature,1.0,0
124,6,5,Gd,TA,Gd,No_Feature,2.0,0
125,6,5,TA,Gd,TA,TA,2.0,1
126,6,8,TA,Fa,TA,No_Feature,2.0,1
127,6,5,TA,TA,TA,TA,2.0,0
128,5,7,TA,Gd,TA,TA,1.0,1
129,6,5,TA,TA,TA,Fa,1.5,0
130,5,7,TA,TA,Ex,No_Feature,2.0,1
131,7,6,TA,TA,Gd,Gd,2.5,0
132,6,5,Gd,TA,Gd,TA,3.5,0
133,5,6,TA,TA,Gd,No_Feature,2.0,1
134,8,5,Gd,TA,Gd,No_Feature,3.0,1
135,5,6,TA,TA,TA,TA,2.5,1
136,7,6,TA,TA,TA,Gd,2.0,0
137,5,5,TA,TA,TA,Fa,2.0,0
138,7,5,TA,TA,TA,No_Feature,3.0,1
139,8,5,Gd,TA,Gd,TA,2.5,1
140,6,5,TA,TA,Gd,No_Feature,3.5,0
141,4,5,TA,TA,TA,Po,1.0,0
142,7,5,Gd,TA,Gd,No_Feature,3.0,0
143,5,4,TA,Fa,TA,No_Feature,2.0,0
144,7,5,Gd,TA,Gd,No_Feature,3.0,0
145,5,5,TA,TA,TA,No_Feature,3.0,0
146,6,5,Gd,TA,Gd,No_Feature,2.0,1
147,5,7,TA,TA,TA,No_Feature,2.0,1
148,7,5,Gd,TA,Gd,Gd,2.5,0
149,7,5,TA,TA,Gd,No_Feature,2.0,1
150,5,4,TA,TA,TA,No_Feature,1.0,1
151,5,6,TA,TA,TA,No_Feature,1.5,0
152,8,5,Gd,TA,Gd,Gd,3.0,1
153,6,5,TA,TA,TA,Gd,2.5,0
154,6,7,TA,TA,TA,Gd,2.0,1
155,6,5,TA,TA,TA,No_Feature,1.0,1
156,6,5,TA,TA,TA,No_Feature,1.0,1
157,5,7,TA,TA,TA,No_Feature,1.0,0
158,8,5,Gd,TA,Ex,Gd,2.5,1
159,7,5,Gd,TA,Gd,Gd,2.5,1
160,7,5,Gd,TA,Gd,Gd,3.5,1
161,6,6,TA,TA,TA,No_Feature,2.0,0
162,9,5,Gd,TA,Ex,Gd,3.5,1
163,7,5,Gd,TA,Gd,Gd,2.0,0
164,4,6,TA,TA,TA,No_Feature,1.0,0
165,6,7,TA,Gd,Gd,No_Feature,2.0,1
166,5,7,TA,Gd,TA,No_Feature,3.0,1
167,5,5,Gd,TA,TA,Gd,2.0,1
168,8,5,Gd,TA,Ex,Gd,2.5,0
169,7,5,Gd,TA,Gd,Gd,2.5,0
170,8,6,Gd,TA,TA,TA,2.5,0
171,5,6,TA,TA,TA,No_Feature,1.5,1
172,6,5,TA,TA,TA,Gd,2.0,0
173,7,7,Gd,Gd,Gd,TA,3.0,0
174,6,5,TA,TA,TA,TA,2.5,0
175,6,5,TA,TA,TA,TA,3.0,0
176,6,7,TA,TA,Gd,Gd,3.0,1
177,6,5,Gd,TA,TA,TA,3.0,1
178,5,5,Gd,Gd,Gd,Gd,3.0,0
179,9,5,Ex,TA,Ex,Gd,3.0,1
180,5,6,Gd,TA,TA,No_Feature,1.0,1
181,6,5,Gd,TA,Gd,TA,2.5,0
182,7,6,TA,TA,TA,Gd,1.5,1
183,5,6,TA,TA,TA,Gd,1.0,1
184,7,5,TA,TA,Gd,No_Feature,2.5,0
185,5,8,TA,TA,TA,No_Feature,1.0,1
186,10,9,Gd,Gd,Ex,TA,2.5,1
187,7,5,TA,TA,Gd,No_Feature,3.0,1
188,5,7,TA,TA,TA,No_Feature,2.5,1
189,5,5,TA,TA,TA,TA,3.0,0
190,8,5,Gd,TA,Ex,Gd,2.5,1
191,8,8,Gd,TA,Gd,TA,2.5,1
192,7,9,TA,TA,Gd,No_Feature,2.5,1
193,7,5,Gd,TA,Gd,No_Feature,3.0,0
194,7,5,Gd,TA,Gd,No_Feature,2.0,0
195,5,7,TA,TA,TA,No_Feature,1.0,0
196,6,6,TA,TA,TA,TA,2.5,0
197,7,5,Ex,TA,Ex,Gd,3.0,0
198,8,4,Gd,Gd,Gd,Ex,3.5,1
199,6,6,TA,TA,TA,No_Feature,1.0,1
200,8,5,Gd,TA,Ex,Gd,3.0,1
201,4,5,TA,TA,TA,No_Feature,2.0,1
202,6,6,TA,TA,TA,Fa,2.5,0
203,6,6,TA,Gd,TA,No_Feature,2.0,1
204,6,5,Gd,TA,Gd,Gd,2.0,0
205,5,7,TA,TA,TA,No_Feature,1.5,1
206,7,5,TA,TA,TA,No_Feature,2.0,0
207,5,5,TA,Gd,TA,TA,1.5,0
208,4,5,TA,TA,TA,Po,2.0,0
209,7,5,Gd,TA,TA,Gd,3.5,1
210,6,7,TA,TA,TA,No_Feature,2.0,0
211,5,6,TA,TA,TA,No_Feature,2.0,1
212,6,5,TA,TA,Gd,No_Feature,2.0,0
213,7,5,TA,TA,Gd,TA,3.5,0
214,5,5,TA,TA,TA,No_Feature,1.5,0
215,6,7,TA,TA,TA,No_Feature,1.5,0
216,5,6,TA,TA,Gd,Fa,1.5,1
217,7,5,Gd,TA,Gd,No_Feature,3.0,0
218,4,4,TA,TA,TA,No_Feature,1.0,1
219,7,9,Gd,Gd,Gd,TA,2.0,1
220,7,5,Gd,TA,Gd,No_Feature,2.0,1
221,7,5,Gd,TA,Gd,No_Feature,2.0,0
222,6,5,Gd,TA,Gd,TA,2.5,0
223,6,6,TA,TA,TA,TA,3.5,0
224,4,6,TA,TA,TA,No_Feature,1.0,0
225,10,5,Ex,TA,Ex,Ex,2.0,0
226,5,5,TA,TA,TA,No_Feature,2.5,0
227,7,5,Gd,TA,Gd,TA,2.5,0
228,6,6,TA,TA,TA,No_Feature,1.5,0
229,5,5,TA,TA,TA,Fa,1.0,0
230,7,5,Gd,TA,Gd,TA,2.0,1
231,6,6,TA,TA,TA,No_Feature,2.0,0
232,8,5,Gd,TA,Ex,TA,3.5,1
233,6,5,TA,TA,TA,Po,1.5,0
234,5,6,TA,TA,TA,No_Feature,2.0,0
235,6,5,Gd,TA,Gd,TA,3.5,0
236,6,3,TA,TA,TA,No_Feature,1.5,0
237,7,5,Gd,TA,Gd,No_Feature,2.0,0
238,7,7,Gd,TA,Gd,No_Feature,2.5,1
239,8,5,Ex,TA,Gd,No_Feature,2.0,0
240,6,4,TA,TA,TA,Gd,1.5,1
241,8,5,Gd,TA,Gd,No_Feature,3.0,0
242,5,9,TA,Gd,Gd,No_Feature,1.0,1
243,5,4,TA,TA,TA,No_Feature,1.0,1
244,6,6,TA,TA,TA,TA,1.5,0
245,7,5,Gd,TA,Gd,Fa,3.5,1
246,7,5,TA,TA,TA,TA,2.5,0
247,6,8,TA,Fa,Fa,No_Feature,2.0,1
248,6,5,TA,TA,TA,TA,1.0,0
249,7,5,Gd,TA,Gd,No_Feature,2.5,0
250,6,7,Gd,TA,Gd,TA,2.5,1
251,3,2,TA,Po,Fa,No_Feature,1.0,1
252,8,5,Gd,TA,Gd,Gd,3.5,1
253,6,5,Gd,TA,Gd,No_Feature,2.5,0
254,6,7,TA,TA,Gd,No_Feature,2.5,1
255,5,6,TA,Gd,TA,No_Feature,2.0,0
256,7,5,Gd,TA,Gd,TA,2.5,0
257,6,5,Gd,TA,Gd,No_Feature,2.5,0
258,7,5,Gd,TA,Gd,Gd,3.5,0
259,7,5,Gd,TA,Gd,TA,2.5,0
260,5,5,TA,TA,TA,No_Feature,1.0,0
261,6,5,TA,TA,TA,TA,2.0,0
262,8,5,Gd,TA,Ex,Gd,2.5,0
263,6,7,TA,TA,TA,TA,2.0,1
264,5,7,TA,TA,TA,No_Feature,2.0,1
265,5,5,TA,TA,TA,No_Feature,1.0,1
266,6,6,TA,Gd,Gd,TA,2.0,0
267,6,5,TA,TA,TA,TA,3.5,0
268,5,8,TA,TA,Gd,Gd,2.5,1
269,5,6,TA,TA,TA,Gd,1.0,1
270,6,7,TA,Gd,TA,Fa,2.5,0
271,8,5,Gd,TA,Gd,Gd,2.5,0
272,7,7,TA,TA,TA,TA,2.0,1
273,8,7,Gd,TA,Gd,Gd,2.5,1
274,6,6,TA,TA,TA,Gd,3.0,1
275,5,7,TA,TA,TA,No_Feature,1.0,0
276,7,7,Gd,Gd,Ex,No_Feature,2.5,1
277,7,5,Gd,TA,Gd,No_Feature,2.0,0
278,4,5,TA,TA,TA,No_Feature,1.0,0
279,9,5,Ex,TA,Ex,Ex,2.5,1
280,7,5,TA,TA,TA,TA,2.5,0
281,7,6,Gd,TA,Gd,TA,2.5,0
282,6,5,Gd,TA,Gd,No_Feature,2.0,0
283,7,5,Gd,TA,Gd,Gd,3.0,1
284,8,5,Gd,TA,Gd,Gd,2.0,1
285,6,5,Gd,TA,Gd,No_Feature,3.0,0
286,7,5,Gd,TA,Gd,No_Feature,2.5,1
287,6,7,TA,TA,Gd,Gd,1.5,1
288,4,4,TA,TA,TA,No_Feature,1.0,0
289,5,5,TA,Gd,TA,No_Feature,1.0,0
290,6,7,TA,TA,TA,No_Feature,1.0,1
291,8,5,Gd,TA,Gd,Gd,2.5,0
292,5,6,TA,Fa,Fa,No_Feature,3.0,1
293,5,4,TA,TA,TA,Gd,1.5,1
294,7,7,TA,TA,Gd,TA,3.5,1
295,6,5,TA,TA,TA,Gd,2.0,0
296,6,6,TA,TA,TA,No_Feature,2.0,0
297,5,5,TA,TA,TA,No_Feature,1.5,0
298,7,5,Gd,TA,Gd,TA,2.5,1
299,6,6,Gd,TA,TA,Gd,2.5,0
300,6,8,TA,Gd,Gd,Gd,1.5,1
301,5,5,TA,TA,TA,Gd,2.0,0
302,8,5,Gd,TA,Gd,TA,2.5,1
303,7,5,Gd,TA,Gd,TA,2.0,1
304,5,7,TA,TA,TA,No_Feature,2.0,0
305,7,9,TA,TA,Gd,Ex,3.0,1
306,8,5,Gd,TA,Gd,No_Feature,3.0,1
307,7,5,Gd,TA,Gd,TA,3.5,1
308,6,7,TA,Fa,Fa,No_Feature,1.0,1
309,4,5,TA,TA,TA,No_Feature,1.0,1
310,9,5,Gd,TA,Ex,Ex,3.0,1
311,6,5,TA,TA,Gd,TA,2.5,1
312,6,6,TA,Gd,TA,Gd,2.0,1
313,5,7,TA,TA,TA,Gd,2.0,1
314,7,5,TA,TA,TA,Gd,4.0,0
315,7,7,TA,TA,Ex,Gd,2.0,1
316,7,5,Gd,TA,Gd,Gd,3.5,1
317,7,7,Gd,TA,Ex,TA,3.5,0
318,8,5,Gd,TA,Gd,Gd,2.5,0
319,7,5,Gd,TA,Gd,TA,3.5,0
320,7,5,TA,TA,TA,TA,3.0,0
321,9,5,TA,TA,Gd,No_Feature,3.5,0
322,8,5,Gd,TA,Gd,Gd,3.5,0
323,7,5,Gd,TA,Gd,TA,3.5,1
324,3,8,TA,Gd,TA,No_Feature,2.0,1
325,7,7,Gd,Gd,Gd,Gd,2.5,1
326,5,6,TA,TA,TA,No_Feature,1.0,1
327,8,5,Gd,TA,Gd,Gd,3.5,0
328,6,5,TA,TA,TA,No_Feature,1.5,0
329,6,6,TA,TA,Gd,No_Feature,2.0,1
330,5,5,TA,TA,TA,No_Feature,1.0,1
331,5,4,TA,TA,TA,No_Feature,2.5,0
332,5,6,TA,TA,TA,No_Feature,2.0,1
333,8,5,Gd,TA,Gd,Gd,3.0,1
334,7,5,Gd,TA,Gd,Gd,3.0,0
335,6,5,TA,TA,TA,TA,3.5,0
336,5,6,TA,TA,TA,Gd,4.0,0
337,9,5,Gd,TA,Gd,Gd,3.0,1
338,7,5,Gd,TA,Gd,No_Feature,3.0,1
339,7,7,Gd,TA,Gd,No_Feature,3.0,1
340,6,7,TA,TA,TA,No_Feature,1.0,1
341,8,5,Gd,TA,Gd,No_Feature,2.5,0
342,4,4,Fa,Fa,TA,No_Feature,1.0,0
343,3,4,TA,TA,TA,No_Feature,2.0,1
344,9,5,Ex,TA,Ex,Ex,2.0,0
345,5,3,TA,TA,TA,No_Feature,1.5,0
346,6,5,TA,TA,Fa,Gd,1.0,1
347,6,8,TA,Gd,TA,No_Feature,1.0,1
348,6,5,TA,TA,TA,Gd,3.0,0
349,7,5,Gd,TA,Gd,No_Feature,3.5,1
350,9,5,Ex,TA,Ex,Ex,3.5,1
351,9,5,Ex,TA,Ex,Gd,2.0,0
352,7,5,TA,TA,Gd,TA,2.5,0
353,5,6,TA,TA,TA,No_Feature,1.5,1
354,6,8,TA,Gd,TA,No_Feature,1.0,1
355,6,5,TA,TA,TA,Gd,1.0,1
356,6,5,Gd,Gd,Gd,No_Feature,3.0,0
357,6,6,TA,TA,Gd,No_Feature,3.0,0
358,5,5,TA,TA,TA,Po,2.5,0
359,5,4,TA,TA,Gd,No_Feature,1.5,0
360,8,5,Gd,TA,Gd,TA,3.5,0
361,6,6,TA,TA,TA,TA,2.0,0
362,5,5,TA,TA,TA,No_Feature,2.0,1
363,7,5,Gd,TA,Gd,Ex,3.0,0
364,6,8,TA,TA,Gd,No_Feature,1.5,1
365,6,5,TA,TA,TA,TA,3.5,0
366,5,7,TA,Gd,TA,No_Feature,1.0,1
367,6,5,TA,TA,TA,Gd,2.5,0
368,6,5,TA,TA,TA,Gd,1.5,0
369,5,6,TA,TA,TA,Gd,1.0,0
370,5,7,TA,Gd,Gd,Gd,2.0,1
371,6,5,TA,TA,TA,TA,2.5,0
372,4,4,TA,TA,TA,Gd,2.0,0
373,6,5,TA,TA,TA,No_Feature,2.0,0
374,5,6,TA,TA,TA,No_Feature,2.0,0
375,7,5,Gd,TA,Gd,Gd,2.5,1
376,1,1,Fa,Fa,Fa,No_Feature,1.5,1
377,5,5,Gd,TA,TA,No_Feature,1.0,0
378,8,5,Gd,TA,Gd,Gd,3.0,1
379,9,2,Gd,TA,Ex,Ex,2.5,0
380,6,5,TA,TA,TA,TA,2.5,0
381,5,6,TA,TA,Gd,Gd,2.0,1
382,7,5,Gd,TA,Gd,Gd,3.0,0
383,7,5,Gd,TA,Gd,No_Feature,2.5,0
384,6,3,TA,TA,TA,No_Feature,1.0,1
385,6,5,Gd,TA,Gd,Fa,3.5,0
386,8,5,Gd,TA,Gd,TA,2.0,1
387,5,3,TA,Fa,TA,No_Feature,1.0,1
388,6,6,TA,TA,TA,Fa,2.0,0
389,7,5,Gd,TA,Gd,No_Feature,2.0,1
390,10,5,Ex,TA,Ex,Ex,3.5,1
391,5,8,TA,TA,TA,No_Feature,2.0,1
392,6,5,TA,TA,Gd,TA,3.5,1
393,5,7,TA,TA,TA,No_Feature,1.0,0
394,4,5,TA,TA,TA,TA,1.0,1
395,5,6,TA,TA,TA,No_Feature,1.0,1
396,5,6,TA,TA,TA,No_Feature,2.0,0
397,5,5,TA,TA,TA,No_Feature,1.0,0
398,5,5,TA,TA,TA,TA,2.0,0
399,5,2,TA,Fa,TA,No_Feature,1.0,1
400,7,5,Gd,TA,Gd,No_Feature,3.0,1
401,8,5,Gd,TA,Ex,Gd,2.5,0
402,7,5,Gd,TA,Gd,Gd,2.0,0
403,5,8,TA,TA,TA,No_Feature,1.0,1
404,8,5,Gd,TA,Gd,TA,2.5,0
405,6,5,TA,TA,TA,TA,2.5,1
406,4,4,TA,TA,TA,TA,3.0,1
407,6,5,TA,TA,TA,No_Feature,1.0,1
408,6,7,TA,TA,TA,No_Feature,2.0,1
409,7,5,Gd,TA,Gd,Gd,2.5,0
410,8,5,Gd,TA,Ex,Gd,3.5,1
411,5,3,TA,Fa,TA,No_Feature,1.0,0
412,5,5,TA,TA,TA,No_Feature,2.0,0
413,7,5,Ex,TA,Gd,Gd,3.5,0
414,5,6,TA,TA,TA,Gd,1.0,1
415,7,5,Gd,TA,Gd,TA,3.0,0
416,7,5,Gd,TA,Gd,No_Feature,2.0,0
417,6,7,TA,TA,TA,TA,1.5,0
418,6,6,TA,TA,TA,Gd,3.5,1
419,5,6,TA,TA,TA,No_Feature,2.5,1
420,5,6,TA,TA,TA,Fa,2.0,0
421,7,5,TA,Gd,TA,No_Feature,4.0,1
422,6,7,Gd,TA,Gd,TA,2.5,1
423,5,5,TA,TA,TA,No_Feature,1.0,0
424,8,5,Gd,TA,Gd,TA,3.5,0
425,6,5,TA,TA,TA,Gd,2.0,0
426,7,8,TA,Gd,TA,Gd,1.5,1
427,7,5,Gd,TA,Gd,TA,3.5,0
428,4,6,TA,TA,TA,No_Feature,1.0,0
429,7,5,Gd,TA,Gd,No_Feature,3.0,0
430,6,5,TA,TA,Gd,TA,3.0,0
431,6,5,TA,TA,TA,No_Feature,1.5,0
432,6,7,TA,TA,TA,No_Feature,1.0,1
433,5,5,TA,TA,TA,No_Feature,2.5,0
434,6,5,TA,TA,TA,TA,2.5,1
435,4,7,TA,Gd,TA,No_Feature,2.0,0
436,7,6,Gd,TA,Gd,TA,3.5,0
437,6,8,TA,TA,TA,No_Feature,1.0,1
438,6,7,Gd,TA,TA,No_Feature,1.0,1
439,5,6,TA,TA,Gd,Gd,1.0,1
440,6,8,TA,TA,Gd,No_Feature,1.0,1
441,10,5,Ex,TA,Ex,Gd,3.0,0
442,4,4,TA,TA,Fa,No_Feature,2.0,0
443,5,7,TA,TA,TA,Gd,2.0,1
444,7,5,Gd,TA,Gd,Gd,2.0,1
445,7,5,Gd,Gd,Gd,TA,3.5,1
446,6,5,TA,TA,TA,Gd,1.0,0
447,6,6,Gd,TA,Gd,Gd,2.5,1
448,7,5,Gd,TA,Gd,TA,2.5,1
449,6,6,TA,TA,TA,Gd,2.0,1
450,3,7,TA,Gd,TA,No_Feature,1.5,1
451,6,8,TA,TA,Gd,No_Feature,1.0,1
452,7,5,TA,TA,Gd,TA,3.0,0
453,6,5,Gd,TA,TA,No_Feature,3.5,1
454,8,5,Gd,TA,Gd,No_Feature,2.5,0
455,5,5,TA,TA,TA,No_Feature,4.0,0
456,7,6,TA,TA,TA,TA,1.5,0
457,5,5,TA,TA,TA,No_Feature,1.0,1
458,4,6,TA,TA,Gd,Gd,2.0,1
459,8,7,TA,Gd,Gd,Gd,1.0,1
460,5,4,TA,TA,Gd,TA,2.0,0
461,8,5,Gd,TA,TA,No_Feature,3.5,0
462,7,9,Gd,Gd,Gd,No_Feature,2.0,1
463,5,5,TA,TA,TA,Po,1.0,0
464,6,7,TA,TA,TA,Gd,1.5,1
465,5,5,TA,TA,TA,No_Feature,2.0,0
466,7,5,Gd,TA,Gd,TA,2.0,0
467,7,5,TA,Gd,TA,Po,2.0,0
468,5,7,TA,TA,Gd,Gd,1.5,1
469,8,5,Gd,TA,Gd,Gd,2.0,0
470,6,5,Gd,TA,Gd,No_Feature,2.5,0
471,8,5,Gd,TA,Gd,No_Feature,2.5,0
472,7,6,TA,TA,TA,Gd,2.5,0
473,6,5,TA,TA,TA,No_Feature,2.0,0
474,8,5,Gd,TA,Gd,Ex,3.0,1
475,8,5,Gd,TA,Ex,No_Feature,3.0,0
476,5,6,TA,TA,TA,No_Feature,2.0,0
477,6,5,TA,TA,Gd,TA,3.0,1
478,9,5,Ex,TA,Ex,Gd,2.5,0
479,8,5,Gd,TA,Gd,Gd,3.0,1
480,4,7,TA,TA,TA,No_Feature,1.0,1
481,9,5,Gd,TA,Gd,Gd,3.0,1
482,9,5,Gd,TA,Ex,Gd,3.0,1
483,7,8,Gd,TA,Ex,Gd,2.5,1
484,6,5,TA,TA,TA,No_Feature,3.0,0
485,5,7,TA,Gd,Gd,No_Feature,2.0,1
486,5,7,Gd,TA,Gd,Gd,1.0,1
487,5,7,TA,TA,TA,No_Feature,2.5,0
488,5,6,TA,TA,TA,TA,2.0,0
489,5,4,TA,Fa,TA,Gd,2.0,1
490,4,8,TA,Gd,Gd,No_Feature,2.0,1
491,5,6,TA,TA,TA,Gd,1.5,0
492,6,7,TA,TA,Fa,TA,2.0,1
493,6,5,Gd,TA,TA,No_Feature,2.5,0
494,5,6,TA,TA,TA,Fa,1.5,0
495,5,8,TA,TA,TA,No_Feature,1.0,1
496,4,5,TA,TA,TA,No_Feature,1.0,1
497,8,5,Gd,TA,Gd,Gd,4.0,1
498,7,6,TA,Gd,TA,No_Feature,3.0,1
499,5,7,TA,TA,Gd,No_Feature,1.0,1
500,5,7,TA,TA,TA,No_Feature,1.5,1
501,6,5,TA,TA,TA,No_Feature,1.5,0
502,7,5,Gd,TA,Gd,No_Feature,2.5,0
503,5,7,TA,TA,TA,No_Feature,2.0,0
504,7,8,TA,TA,TA,TA,3.0,1
505,6,5,TA,TA,TA,Fa,3.0,0
506,5,5,TA,TA,TA,No_Feature,2.0,0
507,8,5,Gd,TA,Gd,TA,2.5,1
508,6,5,Gd,TA,Gd,No_Feature,2.0,0
509,7,9,TA,Ex,Gd,Gd,2.0,1
510,5,6,TA,TA,TA,No_Feature,2.0,0
511,5,7,Gd,TA,TA,TA,2.0,1
512,7,5,Gd,TA,Gd,Gd,2.0,1
513,5,5,TA,TA,TA,No_Feature,2.0,0
514,6,5,TA,Gd,TA,No_Feature,1.5,0
515,5,5,TA,TA,TA,No_Feature,1.0,1
516,10,5,Ex,TA,Ex,Gd,3.5,0
517,6,6,TA,TA,TA,TA,2.5,0
518,7,5,Gd,TA,Gd,TA,2.5,1
519,6,5,TA,TA,TA,No_Feature,3.5,0
