Id,SalePrice,LotFrontage,LotArea,GrLivArea,TotalSF,YearBuilt,YearRemodAdd,HouseAge,YearsSinceRemodel,MoSold,YrSold
45,141000,70.0,7945,1150,2300,1959,1959,47,47,5,2006
46,319900,61.0,7658,1752,3504,2005,2005,5,5,2,2010
47,239686,48.0,12822,2149,3583,2003,2003,6,6,8,2009
48,249700,84.0,11096,1656,3312,2006,2006,1,1,7,2007
49,113000,33.0,4456,1452,2188,1920,2008,89,1,6,2009
50,127000,66.0,7742,955,1910,1966,1966,41,41,1,2007
51,177000,69.0,13869,1470,2264,1997,1997,10,10,7,2007
52,114500,52.0,6240,1176,1632,1934,1950,72,56,9,2006
53,110000,110.0,8472,816,1632,1963,1963,47,47,5,2010
54,385000,68.0,50271,1842,3684,1981,1987,25,19,11,2006
55,130000,60.0,7134,1360,1744,1955,1955,52,52,2,2007
56,180500,100.0,10175,1425,2850,1964,1964,44,44,7,2008
57,172500,24.0,2645,1739,2709,1999,2000,10,9,8,2009
58,196500,89.0,11645,1720,2580,2004,2004,2,2,8,2006
59,438780,66.0,13682,2945,4355,2006,2006,0,0,10,2006
60,124900,60.0,7200,780,1560,1972,1972,36,36,1,2008
61,158000,63.0,13072,1158,2316,2004,2004,2,2,5,2006
62,101000,60.0,7200,1111,1641,1920,1996,87,11,3,2007
63,202500,44.0,6442,1370,2740,2006,2006,1,1,10,2007
64,140000,50.0,10300,1710,2286,1921,1950,89,60,4,2010
65,219500,69.0,9375,2034,3091,1997,1998,12,11,2,2009
66,317000,76.0,9591,2473,3616,2004,2005,3,2,10,2007
67,180000,69.0,19900,2207,4154,1970,1989,40,21,7,2010
68,226000,72.0,10665,1479,2932,2003,2003,4,4,6,2007
69,80000,47.0,4608,747,1494,1945,1950,65,60,6,2010
70,225000,81.0,15593,2287,3591,1953,1953,53,53,7,2006
71,244000,95.0,13651,2223,4446,1973,1973,34,34,2,2007
72,129500,69.0,7599,845,1690,1982,2006,25,1,6,2007
73,185000,74.0,10141,1718,2550,1998,1998,11,11,12,2009
74,144900,85.0,10200,1086,2172,1954,2003,56,7,5,2010
75,107400,60.0,5790,1605,2445,1915,1950,95,60,5,2010
76,91000,21.0,1596,988,1450,1973,1973,36,36,11,2009
77,135750,69.0,8475,952,1904,1956,1956,52,52,4,2008
78,127000,50.0,8635,1285,1957,1948,2001,60,7,1,2008
79,136500,72.0,10778,1768,3536,1968,1968,42,42,4,2010
80,110000,60.0,10440,1230,1670,1910,1981,99,28,5,2009
81,193500,100.0,13000,2142,3038,1968,1968,41,41,6,2009
82,153500,32.0,4500,1337,2574,1998,1998,8,8,3,2006
83,245000,78.0,10206,1563,3126,2007,2007,1,1,10,2008
84,126500,80.0,8892,1065,2130,1960,1960,47,47,7,2007
85,168500,69.0,8530,1474,1858,1995,1996,14,13,5,2009
86,260000,121.0,16059,2417,3705,1991,1992,15,14,4,2006
87,174000,122.0,11911,1560,2244,2005,2005,4,4,3,2009
88,164500,40.0,3951,1224,1836,2009,2009,0,0,6,2009
89,85000,105.0,8470,1526,2026,1915,1982,94,27,10,2009
90,123600,60.0,8070,990,1980,1994,1995,13,12,8,2007
91,109900,60.0,7200,1040,1040,1950,1950,56,56,7,2006
92,98600,85.0,8500,1235,2470,1961,1961,45,45,12,2006
93,163500,80.0,13360,964,1840,1921,2006,88,3,8,2009
94,133900,60.0,7200,2291,3505,1910,1998,97,9,11,2007
95,204750,69.0,9337,1786,2610,1997,1997,10,10,5,2007
96,185000,69.0,9765,1470,2150,1993,1993,16,16,4,2009
97,214000,78.0,10264,1588,3176,1999,1999,7,7,8,2006
98,94750,73.0,10921,960,1920,1965,1965,42,42,5,2007
99,83000,85.0,10625,835,1293,1920,1950,90,60,5,2010
100,128950,77.0,9320,1225,2175,1959,1959,51,51,1,2010
101,205000,69.0,10603,1610,3220,1977,2001,33,9,2,2010
102,178000,77.0,9206,1732,2473,1985,1985,25,25,6,2010
103,118964,64.0,7018,1535,1535,1979,1979,30,30,6,2009
104,198900,94.0,10402,1226,2452,2009,2009,1,1,5,2010
105,169500,69.0,7758,1818,2858,1931,1950,76,57,6,2007
106,250000,75.0,9375,1992,3045,2003,2004,5,4,8,2008
107,100000,60.0,10800,1047,1688,1885,1995,122,12,8,2007
108,115000,50.0,6000,789,1578,1948,1950,60,58,4,2008
109,115000,85.0,8500,1517,2310,1919,2005,88,2,8,2007
110,190000,105.0,11751,1844,3688,1977,1977,33,33,1,2010
111,136900,75.0,9525,1855,2849,1954,1972,52,34,10,2006
112,180000,69.0,7750,1430,1814,2000,2000,10,10,4,2010
113,383970,77.0,9965,2696,3960,2007,2007,0,0,10,2007
114,217000,69.0,21000,2259,4068,1953,1953,54,54,10,2007
115,259500,61.0,7259,2320,3348,1945,2002,62,5,7,2007
116,176000,34.0,3230,1458,2187,1999,1999,8,8,6,2007
117,139000,69.0,11616,1092,2184,1962,1962,47,47,9,2009
118,155000,74.0,8536,1125,2250,2006,2007,1,0,4,2007
119,320000,90.0,12376,3222,4895,1990,1990,20,20,5,2010
120,163990,65.0,8461,1456,2184,2005,2006,1,0,7,2006
121,180000,69.0,21453,988,1926,1969,1969,37,37,10,2006
122,100000,50.0,6060,1123,1855,1939,1950,68,57,6,2007
123,136000,75.0,9464,1080,2160,1958,1958,50,50,6,2008
124,153900,55.0,7892,1199,2398,1993,1993,15,15,3,2008
125,181000,48.0,17043,1586,2948,1979,1998,30,11,1,2009
126,84500,60.0,6780,754,1040,1935,1982,71,24,6,2006
127,128000,69.0,4928,958,2036,1976,1976,31,31,2,2007
128,87000,55.0,4388,840,1512,1930,1950,77,57,6,2007
129,155000,69.0,7590,1348,2008,1966,1966,40,40,7,2006
130,150000,69.0,8973,1053,2061,1958,1991,48,15,7,2006
131,226000,88.0,14200,2157,3081,1966,1966,40,40,5,2006
132,244000,69.0,12224,2054,3046,2000,2000,9,9,7,2009
133,150750,75.0,7388,1327,2390,1959,2002,48,5,7,2007
134,220000,69.0,6853,1296,2563,2001,2002,8,7,6,2009
135,180000,78.0,10335,1721,3182,1968,1993,38,13,7,2006
136,174000,80.0,10400,1682,2986,1970,1970,38,38,5,2008
137,143000,69.0,10355,1214,2428,1967,1967,40,40,7,2007
138,171000,82.0,11070,1959,3866,1988,1989,18,17,7,2006
139,230000,73.0,9066,1852,2856,1999,2000,9,8,12,2008
140,231500,65.0,15426,1764,2692,1997,1997,12,12,8,2009
141,115000,70.0,10500,864,1728,1971,1971,39,39,4,2010
142,260000,78.0,11645,1734,3468,2005,2005,1,1,1,2006
143,166000,71.0,8520,1385,2295,1952,1952,58,58,6,2010
144,204000,78.0,10335,1501,2991,1999,1999,10,10,6,2009
145,125000,70.0,9100,1728,3456,1963,1963,43,43,11,2006
146,130000,24.0,2522,1709,2679,2004,2006,2,0,4,2006
147,105000,51.0,6120,875,1590,1931,1993,78,16,11,2009
148,222500,69.0,9505,2035,2919,2001,2001,9,9,5,2010
149,141000,63.0,7500,1080,2160,2004,2005,4,3,4,2008
150,115000,69.0,6240,1344,2240,1936,1950,70,56,4,2006
151,122000,120.0,10356,969,1938,1975,1975,32,32,1,2007
152,372402,107.0,13891,1710,3420,2007,2008,1,0,1,2008
153,190000,69.0,14803,1993,2818,1971,1971,35,35,6,2006
154,235000,69.0,13500,1252,2854,1960,1975,48,33,3,2008
155,125000,84.0,11340,1200,2400,1923,1950,83,56,3,2006
156,79000,60.0,9600,1096,1668,1924,1950,84,58,4,2008
157,109500,60.0,7200,1040,1040,1950,1950,56,56,6,2006
158,269500,92.0,12003,1968,2742,2009,2010,1,0,5,2010
159,254900,100.0,12552,1947,2938,2004,2005,6,5,5,2010
160,320000,134.0,19378,2462,3854,2005,2006,1,0,3,2006
161,162500,69.0,11120,1232,2464,1984,1984,24,24,6,2008
162,412500,110.0,13688,2668,4240,2003,2004,5,4,3,2008
163,220000,95.0,12182,1541,3082,2005,2005,5,5,5,2010
164,103200,55.0,5500,882,1764,1956,1956,51,51,4,2007
165,152000,40.0,5400,1616,2765,1926,2004,81,3,10,2007
166,127500,62.0,10106,1355,1999,1940,1999,68,9,9,2008
167,190000,69.0,10708,1867,3484,1955,1993,54,16,11,2009
168,325624,86.0,10562,2161,3743,2007,2007,0,0,11,2007
169,183500,62.0,8244,1720,2560,2004,2004,3,3,5,2007
170,228000,69.0,16669,1707,3393,1981,1981,25,25,1,2006
171,128500,69.0,12358,1382,1574,1941,1950,66,57,5,2007
172,215000,141.0,31770,1656,2736,1960,1960,50,50,5,2010
173,239000,44.0,5306,1767,2831,1987,1987,19,19,6,2006
174,163000,80.0,10197,1362,2724,1961,1961,47,47,6,2008
175,184000,47.0,12416,1651,3257,1986,1986,22,22,11,2008
176,243000,84.0,12615,2158,3360,1950,2001,57,6,6,2007
177,211000,97.0,10029,2060,3211,1988,1989,19,18,9,2007
178,172500,69.0,13650,1920,2972,1958,1958,48,48,7,2006
179,501837,63.0,17423,2234,4450,2008,2009,1,0,7,2009
180,100000,60.0,8520,968,1936,1923,2006,84,1,7,2007
181,177000,69.0,2117,1525,2281,2000,2000,7,7,6,2007
182,200100,54.0,7588,1802,2595,1920,1950,86,56,7,2006
183,120000,60.0,9060,1340,1340,1957,2006,50,1,6,2007
184,200000,63.0,11426,2082,3444,2003,2003,5,5,6,2008
185,127000,92.0,7438,1252,1756,1908,1991,98,15,6,2006
186,475000,90.0,22950,3608,4143,1892,1993,114,13,6,2006
187,173000,69.0,9947,1217,2405,1990,1991,19,18,6,2009
188,135000,60.0,10410,1656,2172,1916,1987,93,22,8,2009
189,153337,64.0,7018,1224,2310,1979,1979,30,30,6,2009
190,286000,41.0,4923,1593,3186,2001,2002,7,6,8,2008
191,315000,70.0,10570,2727,3580,1932,1994,75,13,12,2007
192,184000,69.0,7472,1479,2204,1972,2004,35,3,6,2007
193,192000,68.0,9017,1431,2862,1999,1999,10,10,9,2009
194,130000,24.0,2522,1709,2679,2004,2004,2,2,5,2006
195,127000,60.0,7180,864,1728,1972,1972,36,36,5,2008
196,148500,24.0,2280,1456,2311,1976,1976,33,33,7,2009
197,311872,79.0,9416,1726,3452,2007,2007,0,0,9,2007
198,235000,174.0,25419,3112,4080,1918,1990,88,16,3,2006
199,104000,92.0,5520,2229,2613,1912,1950,97,59,7,2009
200,274900,76.0,9591,1713,3426,2004,2005,5,4,1,2009
201,140000,80.0,8546,1121,2242,2003,2004,7,6,3,2010
202,171500,75.0,10125,1279,2475,1977,1977,31,31,2,2008
203,112000,50.0,7000,1310,1927,1924,1950,82,56,5,2006
204,149000,69.0,4438,848,1696,2004,2004,4,4,1,2008
205,110000,50.0,3500,1284,2004,1947,1950,62,59,4,2009
206,180500,99.0,11851,1442,2866,1990,1990,19,19,5,2009
207,143900,40.0,13673,1696,2836,1962,1962,45,45,3,2007
208,141000,69.0,12493,1100,2200,1960,1960,48,48,4,2008
209,277000,69.0,14364,2062,3219,1988,1989,19,18,4,2007
210,145000,75.0,8250,1092,2184,1964,1964,44,44,7,2008
211,98000,67.0,5604,864,1728,1925,1950,83,58,4,2008
212,186000,83.0,10420,1212,2424,2009,2009,1,1,3,2010
213,252678,72.0,8640,1852,2752,2009,2009,0,0,7,2009
214,156000,43.0,13568,990,1980,1995,1995,11,11,7,2006
215,161750,69.0,10900,1392,2081,1977,1977,33,33,3,2010
216,134450,72.0,10011,1236,2306,1957,1996,49,10,5,2006
217,210000,65.0,8450,1436,2872,2004,2004,4,4,4,2008
218,107000,57.0,9906,1328,2014,1925,1950,81,56,9,2006
219,311500,69.0,15660,1954,2752,1939,2006,69,2,5,2008
220,167240,43.0,3010,1248,2496,2005,2006,1,0,3,2006
221,204900,73.0,8990,1498,2996,2006,2006,0,0,4,2006
222,200000,69.0,8068,2267,3277,2002,2002,7,7,12,2009
223,179900,85.0,11475,1552,2265,1975,1975,31,31,2,2006
224,97000,70.0,10500,864,1728,1971,1971,38,38,3,2009
225,386250,103.0,13472,2392,4784,2003,2003,6,6,6,2009
226,112000,21.0,1680,1302,1932,1971,1971,38,38,5,2009
227,290000,82.0,9950,2520,3723,1995,1995,12,12,6,2007
228,106000,21.0,1869,987,1470,1970,1970,38,38,9,2008
229,125000,70.0,8521,912,1824,1967,1967,43,43,5,2010
230,192500,43.0,3182,1555,2928,2005,2006,4,3,5,2009
231,148000,73.0,8760,1194,2388,1959,1959,51,51,4,2010
232,403000,174.0,15138,2794,4256,1995,1996,14,13,7,2009
233,94500,21.0,1680,987,1470,1972,1972,34,34,6,2006
234,128200,75.0,10650,894,1788,1976,1976,34,34,2,2010
235,216500,69.0,7851,1960,2820,2002,2002,8,8,5,2010
236,89500,21.0,1680,987,1470,1971,1971,37,37,8,2008
237,185500,65.0,8773,1414,2828,2004,2004,6,6,5,2010
238,194500,69.0,9453,1744,2740,1993,2003,17,7,2,2010
239,318000,93.0,12030,1694,3388,2007,2007,0,0,12,2007
240,113000,52.0,8741,1487,2222,1945,1950,65,60,4,2010
241,262500,75.0,9000,1566,3132,2008,2008,2,2,4,2010
242,110500,40.0,3880,866,1552,1945,1997,62,10,8,2007
243,79000,63.0,5000,1440,1980,1900,1950,106,56,4,2006
244,120000,75.0,10762,1217,1843,1980,1980,29,29,4,2009
245,205000,69.0,8880,2110,3058,1994,2002,16,8,5,2010
246,241500,80.0,10400,1872,3717,1988,1988,18,18,6,2006
247,137000,69.0,9142,1928,2948,1910,1950,96,56,4,2006
248,140000,75.0,11310,1375,2742,1954,1954,52,52,6,2006
249,180000,72.0,11317,1668,2508,2003,2003,4,4,9,2007
250,277000,69.0,159000,2144,3588,1958,2006,49,1,6,2007
251,76500,55.0,5350,1306,2034,1940,1966,70,44,5,2010
252,235000,44.0,4750,1625,3198,2006,2007,1,0,12,2007
253,173000,65.0,8366,1640,2438,2004,2004,4,4,12,2008
254,158000,85.0,9350,1302,2604,1964,1991,43,16,10,2007
255,145000,70.0,8400,1314,2628,1957,1957,53,53,6,2010
256,230000,66.0,8738,2291,3266,1999,1999,7,7,2,2006
257,207500,64.0,8791,1728,2592,2003,2003,5,5,5,2008
258,220000,68.0,8814,1604,3208,2006,2006,3,3,3,2009
259,231500,80.0,12435,1792,2755,2001,2001,7,7,5,2008
260,97000,70.0,12702,882,882,1956,1956,52,52,12,2008
261,176000,120.0,19296,1382,2744,1962,1962,47,47,5,2009
262,276000,69.0,9588,2574,4056,2007,2007,0,0,11,2007
263,151000,88.0,8471,1212,1718,1977,1995,29,11,7,2006
264,130000,50.0,5500,1316,1852,1929,2001,81,9,4,2010
265,73000,30.0,5232,764,1444,1925,2004,83,4,6,2008
266,175500,78.0,12090,1422,2844,1981,1981,27,27,6,2008
267,185000,70.0,11207,1511,2313,1997,1997,9,9,6,2006
268,179500,60.0,8400,2192,2492,1939,1997,69,11,7,2008
269,120500,71.0,6900,778,1518,1940,1955,68,53,2,2008
270,148000,69.0,7917,1113,2256,1976,1976,31,31,5,2007
271,266000,84.0,10728,1939,3034,2006,2006,0,0,8,2006
272,241500,73.0,39104,1363,2748,1954,2005,54,3,4,2008
273,290000,92.0,11764,2270,3422,1999,2007,11,3,4,2010
274,139000,80.0,9600,1632,2872,1958,1988,51,21,4,2009
275,124500,76.0,8314,816,1632,1982,1982,25,25,6,2007
276,205000,55.0,7264,1548,2500,1925,2007,84,2,10,2009
277,201000,129.0,9196,1560,3120,2003,2003,7,7,4,2010
278,141000,140.0,19138,864,1728,1951,1951,59,59,6,2010
279,415298,107.0,14450,2121,4242,2006,2007,1,0,5,2007
280,192000,83.0,10005,2022,3182,1977,1977,31,31,3,2008
281,228500,82.0,11287,1982,2789,1989,1989,18,18,1,2007
282,185000,60.0,7200,1262,2524,2006,2006,0,0,5,2006
283,207500,34.0,5063,1314,2628,2007,2008,2,1,4,2009
284,244600,74.0,9612,1468,2936,2008,2009,1,0,12,2009
285,179200,50.0,8012,1575,3150,1992,1992,15,15,7,2007
286,164700,35.0,4251,1250,1875,2006,2007,1,0,6,2007
287,159000,77.0,9786,1734,2646,1962,1981,44,25,6,2006
288,88000,69.0,8125,858,1716,1971,1971,35,35,6,2006
289,122000,69.0,9819,900,1782,1967,1967,43,43,2,2010
290,153575,60.0,8730,1396,2094,1915,2003,92,4,7,2007
291,233230,120.0,15611,1919,2998,2006,2006,0,0,7,2006
292,135900,55.0,5687,1716,2496,1912,2000,96,8,3,2008
293,131000,60.0,11409,1716,2484,1949,2008,60,1,1,2009
294,235000,69.0,16659,2263,3058,1977,1994,29,12,3,2006
295,167000,80.0,9600,1644,3060,1953,1953,56,56,10,2009
296,142500,37.0,7937,1003,2006,1984,1984,22,22,3,2006
297,152000,75.0,13710,1558,2468,1950,1950,57,57,6,2007
298,239000,66.0,7399,1950,2925,1997,1998,10,9,6,2007
299,175000,90.0,11700,1743,2445,1968,1968,39,39,6,2007
300,158500,80.0,14000,1152,2244,1950,2004,59,5,8,2009
301,157000,90.0,15750,1336,2501,1953,1953,53,53,6,2006
302,267000,66.0,16226,2452,3480,1998,1999,9,8,5,2007
303,205000,118.0,13704,1541,3082,2001,2002,5,4,1,2006
304,149900,70.0,9800,894,1788,1972,1972,34,34,7,2006
305,295000,87.0,18386,3493,4963,1880,2002,128,6,5,2008
306,305900,80.0,10386,2000,4000,2004,2005,3,2,7,2007
307,225000,116.0,13474,2243,2943,1990,1991,17,16,6,2007
308,89500,69.0,7920,1406,1725,1920,1950,88,58,3,2008
309,82500,69.0,12342,861,1722,1940,1950,69,59,3,2009
310,360000,90.0,12378,1944,3840,2003,2004,3,2,11,2006
311,165600,69.0,7685,1501,2198,1993,1994,13,12,5,2006
312,132000,50.0,8000,972,1944,1948,2002,61,7,5,2009
313,119900,65.0,7800,1118,1911,1939,1950,67,56,5,2006
314,375000,150.0,215245,2036,4172,1965,1965,44,44,6,2009
315,178000,60.0,9600,1641,2369,1925,1990,81,16,8,2006
316,188500,71.0,7795,1432,2148,2004,2005,5,4,7,2009
317,260000,94.0,13005,2353,3198,1980,1980,29,29,8,2009
318,270000,75.0,9000,1959,3047,2006,2006,1,1,12,2007
319,260000,90.0,9900,2646,3993,1993,1993,16,16,4,2009
320,187500,69.0,14115,1472,2844,1980,1980,29,29,6,2009
321,342643,111.0,16259,2596,3845,2006,2006,0,0,9,2006
322,354000,99.0,12099,2468,3604,2004,2004,3,3,6,2007
323,301000,86.0,10380,2730,4232,1986,1987,21,20,8,2007
324,126175,49.0,5820,1163,2325,1955,2005,51,1,7,2006
325,242000,96.0,11275,2978,3688,1967,2007,43,3,6,2010
326,87000,50.0,5000,803,1523,1941,1950,66,57,12,2007
327,324000,32.0,10846,1719,3438,1993,1993,15,15,5,2008
328,145250,80.0,11600,1383,2766,1960,1960,46,46,4,2006
329,214500,69.0,11888,2134,2978,1916,1994,93,15,7,2009
330,78000,60.0,6402,1192,1788,1920,1950,89,59,7,2009
331,119000,69.0,10624,1728,3456,1964,1964,43,43,11,2007
332,139000,70.0,8176,1056,2112,1958,1992,49,15,8,2007
333,284000,85.0,10655,1629,4835,2003,2004,6,5,10,2009
334,207000,59.0,8198,1358,2716,2004,2004,4,4,7,2008
335,192000,59.0,9042,1638,2581,1998,1998,10,10,7,2008
336,228950,69.0,164660,1786,3285,1965,1965,43,43,8,2008
337,377426,86.0,14157,1922,3844,2005,2006,2,1,7,2007
338,214000,70.0,9135,1536,3072,2002,2003,6,5,12,2008
339,202500,91.0,14145,1621,2829,1984,1998,22,8,5,2006
340,155000,66.0,12400,1215,2430,1958,1998,51,11,6,2009
341,202900,85.0,14191,1908,2875,2002,2002,8,8,4,2010
342,82000,60.0,8400,841,1562,1950,1950,59,59,9,2009
343,87500,69.0,8544,1040,1040,1949,1950,57,56,5,2006
344,266000,63.0,8849,1684,3368,2005,2005,3,3,7,2008
345,85000,36.0,2592,1112,1648,1976,1976,34,34,4,2010
346,140200,65.0,6435,1577,2549,1939,1950,67,56,10,2006
347,151500,69.0,12772,958,1916,1960,1998,47,9,4,2007
348,157500,69.0,17600,1478,2956,1960,1960,49,49,12,2009
349,154000,36.0,2448,1626,2390,2003,2004,5,4,10,2008
350,437154,56.0,20431,2728,4576,2005,2006,1,0,4,2006
351,318061,68.0,7820,1869,3738,2007,2007,0,0,12,2007
352,190000,69.0,5271,1453,2906,1986,1986,20,20,12,2006
353,95000,60.0,9084,1111,1727,1941,1950,67,58,3,2008
354,105900,60.0,8520,720,1344,1928,2003,82,7,5,2010
355,140000,60.0,8400,1595,2535,1940,2000,66,6,6,2006
356,177500,105.0,11249,1200,2400,1995,1995,12,12,8,2007
357,173000,69.0,9248,1167,2325,1992,1992,17,17,7,2009
358,134000,44.0,4224,1142,2284,1976,1976,31,31,8,2007
359,130000,92.0,6930,1352,2414,1958,1958,48,48,7,2006
360,280000,78.0,12011,1924,3010,1998,1998,8,8,6,2006
361,156000,69.0,7540,912,1800,1978,1978,29,29,6,2007
362,145000,69.0,9144,1505,2388,1940,1982,68,26,7,2008
363,198500,64.0,7301,1922,1922,2003,2003,6,6,7,2009
364,118000,21.0,1680,987,1470,1972,2007,37,2,5,2009
365,190000,69.0,18800,1574,2370,1976,1976,30,30,7,2006
366,147000,59.0,10690,1344,2016,1920,1997,89,12,7,2009
367,159000,69.0,9500,1394,2788,1963,1963,46,46,7,2009
368,165000,101.0,9150,1431,2530,1962,1962,46,46,12,2008
369,132000,78.0,7800,1268,2536,1954,1954,56,56,3,2010
370,162000,69.0,9830,1287,2350,1959,2006,51,4,3,2010
371,172400,69.0,8121,1664,2617,2000,2000,6,6,1,2006
372,134432,80.0,17120,1588,1588,1959,1959,49,49,7,2008
373,125000,50.0,7175,752,1496,1984,1984,26,26,2,2010
374,123000,79.0,10634,1319,1927,1953,1953,56,56,11,2009
375,219500,65.0,8200,1928,2775,2003,2004,4,3,7,2007
376,61000,69.0,10020,904,1587,1922,1950,87,59,3,2009
377,148000,57.0,8846,914,1784,1996,1996,10,10,7,2006
378,340000,102.0,11143,2466,4046,2004,2005,3,2,12,2007
379,394432,88.0,11394,1856,3712,2010,2010,0,0,6,2010
380,179000,60.0,8123,1800,2782,2000,2000,9,9,6,2009
381,127000,50.0,5000,1691,2717,1924,1950,86,60,5,2010
382,187750,60.0,7200,1301,2594,2006,2006,0,0,8,2006
383,213500,79.0,9245,1797,2736,2006,2006,1,1,4,2007
384,76000,60.0,9000,784,1568,1928,1950,81,59,10,2009
385,240000,69.0,53107,1953,3533,1992,1992,15,15,6,2007
386,192000,43.0,3182,1269,2525,2004,2005,6,5,4,2010
387,81000,58.0,8410,1184,1842,1910,1996,96,10,5,2006
388,125000,72.0,7200,1125,2166,1976,1976,33,33,10,2009
389,191000,93.0,9382,1479,2947,1999,2000,9,8,7,2008
390,426000,96.0,12474,2332,4014,2007,2008,1,0,8,2008
391,119000,50.0,8405,1367,2228,1900,1950,108,58,4,2008
392,215000,71.0,12209,1961,2765,2001,2002,8,7,6,2009
393,106500,69.0,8339,882,882,1959,1959,48,48,7,2007
394,100000,69.0,7446,788,1576,1941,1950,65,56,4,2006
395,109000,60.0,10134,1034,1769,1940,1950,67,57,7,2007
396,129000,68.0,9571,1144,2288,1956,1956,54,54,6,2010
397,123000,60.0,7200,894,1788,1972,1972,37,37,9,2009
398,169500,69.0,7590,1812,2676,1962,1962,45,45,7,2007
399,67000,60.0,8967,1077,2038,1920,1950,87,57,11,2007
400,241000,65.0,8125,1550,2642,2006,2007,3,2,10,2009
401,245500,38.0,14963,1288,2548,1996,1996,12,12,12,2008
402,164990,65.0,8767,1310,2620,2005,2005,1,1,7,2006
403,108000,60.0,10200,672,1344,1940,1997,68,11,8,2008
404,258000,93.0,12090,2263,3404,1998,1998,8,8,7,2006
405,168000,69.0,10364,1572,2378,1995,1996,12,11,5,2007
406,150000,69.0,9991,1620,2901,1976,1993,33,16,6,2009
407,115000,51.0,10480,1639,2230,1936,1950,72,58,3,2008
408,177000,63.0,15576,1680,2520,1915,1976,93,32,3,2008
409,280000,109.0,14154,2172,3235,2006,2006,1,1,8,2007
410,339750,85.0,10800,2078,3112,2007,2008,1,0,4,2008
411,60000,68.0,9571,1276,2552,1958,1958,51,51,6,2009
412,145000,100.0,34650,1056,2112,1955,1955,51,51,1,2006
413,222000,69.0,4403,1478,2948,2009,2009,1,1,6,2010
414,115000,56.0,8960,1028,2036,1927,1950,83,60,3,2010
415,228000,59.0,11228,2097,3177,1993,1993,15,15,12,2008
416,181134,73.0,8899,1340,2680,2007,2007,0,0,8,2007
417,149500,74.0,7844,1400,2072,1978,1978,28,28,3,2006
418,239000,86.0,22420,2624,3994,1918,1950,89,57,11,2007
419,126000,60.0,8160,1134,1890,1940,1950,67,57,4,2007
420,142000,65.0,8450,1056,2112,1968,1968,42,42,7,2010
421,206300,78.0,7060,1344,2688,1997,1998,11,10,11,2008
