Property_ID,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,HasGarage
39,Detchd,1953.0,Unf,1,246,TA,TA,Y,1
40,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
41,Attchd,1965.0,RFn,2,440,TA,TA,Y,1
42,Attchd,1959.0,RFn,1,308,TA,TA,P,1
43,Attchd,1983.0,RFn,2,504,TA,Gd,Y,1
44,Detchd,1977.0,Unf,1,308,TA,TA,Y,1
45,Attchd,1959.0,RFn,1,300,TA,TA,Y,1
46,Attchd,2005.0,RFn,2,576,TA,TA,Y,1
47,Attchd,2003.0,RFn,2,670,TA,TA,Y,1
48,Attchd,2006.0,RFn,3,826,TA,TA,Y,1
49,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
50,Attchd,1966.0,Unf,1,386,TA,TA,Y,1
51,Attchd,1997.0,Fin,2,388,TA,TA,Y,1
52,Detchd,1985.0,Unf,2,528,TA,TA,Y,1
53,CarPort,1963.0,Unf,2,516,TA,TA,Y,1
54,Attchd,1981.0,Fin,3,894,TA,TA,Y,1
55,Detchd,1962.0,Unf,2,572,TA,TA,Y,1
56,Attchd,1964.0,RFn,2,576,TA,TA,Y,1
57,Attchd,1999.0,Fin,2,480,TA,TA,Y,1
58,Attchd,2004.0,RFn,2,565,TA,TA,Y,1
59,BuiltIn,2006.0,Fin,3,641,TA,TA,Y,1
60,Detchd,1973.0,Unf,1,352,TA,TA,Y,1
61,Detchd,2006.0,Unf,2,576,TA,TA,Y,1
62,Detchd,1935.0,Unf,1,288,TA,TA,N,1
63,Attchd,2006.0,RFn,2,484,TA,TA,Y,1
64,Detchd,1990.0,Unf,2,480,TA,TA,Y,1
65,Attchd,1998.0,RFn,2,645,TA,TA,Y,1
66,BuiltIn,2004.0,RFn,3,852,TA,TA,Y,1
67,Attchd,1970.0,RFn,2,576,TA,TA,Y,1
68,Attchd,2003.0,RFn,2,558,TA,TA,Y,1
69,Attchd,1945.0,Unf,1,220,TA,TA,Y,1
70,Attchd,1953.0,Fin,2,667,TA,TA,Y,1
71,Attchd,1973.0,Fin,2,516,TA,TA,Y,1
72,Detchd,1987.0,Unf,2,360,TA,TA,Y,1
73,Attchd,1998.0,Fin,2,427,TA,TA,Y,1
74,Attchd,1989.0,Unf,2,490,TA,TA,Y,1
75,Detchd,1915.0,Unf,1,379,TA,TA,Y,1
76,BuiltIn,1973.0,Unf,1,297,TA,TA,Y,1
77,Detchd,1956.0,Unf,1,283,TA,TA,Y,1
78,Detchd,1948.0,Unf,1,240,TA,TA,Y,1
79,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
80,Detchd,1966.0,Unf,2,440,TA,TA,Y,1
81,Attchd,1968.0,Fin,1,509,TA,TA,Y,1
82,Attchd,1998.0,Fin,2,405,TA,TA,Y,1
83,Attchd,2007.0,RFn,3,758,TA,TA,Y,1
84,Detchd,1974.0,Unf,2,461,TA,TA,Y,1
85,BuiltIn,1995.0,Fin,2,400,TA,TA,Y,1
86,Attchd,1991.0,Unf,2,462,TA,TA,Y,1
87,BuiltIn,2005.0,Fin,2,400,TA,TA,Y,1
88,Detchd,2009.0,RFn,2,528,TA,TA,Y,1
89,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
90,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
91,Detchd,1950.0,Unf,2,420,TA,TA,Y,1
92,Attchd,1961.0,Unf,2,480,TA,TA,Y,1
93,Detchd,1921.0,Unf,2,432,TA,TA,Y,1
94,Detchd,1900.0,Unf,2,506,TA,TA,Y,1
95,Attchd,1997.0,RFn,2,684,TA,TA,Y,1
96,BuiltIn,1993.0,Fin,2,420,TA,TA,Y,1
97,Attchd,1999.0,RFn,2,472,TA,TA,Y,1
98,Attchd,1965.0,Fin,1,432,TA,TA,P,1
99,Basment,1920.0,Unf,1,366,Fa,TA,Y,1
100,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
101,Attchd,1977.0,RFn,2,480,TA,TA,Y,1
102,Attchd,1985.0,Fin,2,476,TA,TA,Y,1
103,Attchd,1979.0,Unf,2,410,TA,TA,Y,1
104,Attchd,2009.0,RFn,3,740,TA,TA,Y,1
105,Detchd,1951.0,Unf,1,240,TA,TA,Y,1
106,Attchd,2003.0,RFn,2,648,TA,TA,Y,1
107,Detchd,1954.0,Unf,1,273,Fa,Fa,N,1
108,Detchd,1948.0,Unf,1,250,TA,TA,Y,1
109,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
110,Attchd,1977.0,RFn,2,546,TA,TA,Y,1
111,Attchd,1954.0,Unf,1,325,TA,TA,Y,1
112,BuiltIn,2000.0,Fin,2,400,TA,TA,Y,1
113,BuiltIn,2007.0,Fin,3,792,TA,TA,Y,1
114,Basment,1953.0,Unf,2,450,TA,TA,Y,1
115,Detchd,1945.0,Unf,1,180,TA,TA,Y,1
116,Detchd,1999.0,Unf,2,440,TA,TA,Y,1
117,Attchd,1962.0,Unf,1,288,TA,TA,Y,1
118,Attchd,2007.0,Unf,2,430,TA,TA,Y,1
119,Attchd,1990.0,Unf,3,594,TA,TA,Y,1
120,Attchd,2005.0,Fin,2,390,TA,TA,Y,1
121,Attchd,1969.0,Unf,2,540,TA,TA,Y,1
122,Detchd,1979.0,Unf,1,264,TA,TA,P,1
123,Attchd,1958.0,Unf,1,288,TA,TA,Y,1
124,Attchd,1993.0,RFn,2,530,TA,TA,Y,1
125,Attchd,1979.0,Unf,2,435,TA,TA,Y,1
126,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
127,Attchd,1977.0,RFn,2,440,TA,TA,Y,1
128,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
129,Attchd,1966.0,RFn,2,453,TA,TA,Y,1
130,2Types,1998.0,RFn,2,750,TA,TA,Y,1
131,Attchd,1966.0,Fin,2,487,TA,TA,Y,1
132,BuiltIn,2000.0,RFn,2,390,TA,TA,Y,1
133,Detchd,1974.0,Unf,2,624,TA,TA,Y,1
134,Attchd,2001.0,Fin,2,471,TA,TA,Y,1
135,Attchd,1968.0,RFn,2,440,TA,TA,Y,1
136,Attchd,1970.0,Unf,2,530,TA,TA,Y,1
137,Attchd,1967.0,RFn,1,318,TA,TA,Y,1
138,2Types,1989.0,Unf,3,766,TA,TA,Y,1
139,Attchd,1999.0,Fin,3,660,TA,TA,Y,1
140,Attchd,1997.0,RFn,2,470,TA,TA,Y,1
141,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
142,Attchd,2005.0,Fin,2,660,TA,TA,Y,1
143,Detchd,2000.0,Unf,2,720,TA,TA,Y,1
144,Attchd,1999.0,RFn,2,577,TA,TA,Y,1
145,Detchd,1963.0,Unf,2,504,TA,TA,Y,1
146,Detchd,2004.0,Unf,2,380,TA,TA,Y,1
147,Detchd,1931.0,Unf,1,180,Fa,TA,Y,1
148,BuiltIn,2001.0,Fin,2,434,TA,TA,Y,1
149,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
150,Detchd,1936.0,Unf,1,240,Fa,TA,Y,1
151,Attchd,1975.0,Unf,2,440,TA,TA,Y,1
152,Attchd,2007.0,RFn,3,866,TA,TA,Y,1
153,Attchd,1971.0,RFn,2,495,TA,TA,Y,1
154,Attchd,1960.0,RFn,2,564,TA,TA,Y,1
155,Detchd,1923.0,Unf,1,312,Fa,Fa,Y,1
156,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
157,Detchd,1950.0,Unf,2,625,TA,TA,Y,1
158,BuiltIn,2009.0,Fin,3,680,TA,TA,Y,1
159,Attchd,2004.0,RFn,2,678,TA,TA,Y,1
160,Attchd,2006.0,RFn,2,576,TA,TA,Y,1
161,Attchd,1984.0,Unf,2,516,TA,TA,Y,1
162,BuiltIn,2003.0,Fin,3,726,TA,TA,Y,1
163,Attchd,2005.0,RFn,2,532,TA,TA,Y,1
164,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
165,Detchd,1926.0,Unf,1,216,TA,TA,Y,1
166,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
167,Attchd,1955.0,Fin,1,303,TA,TA,Y,1
168,Attchd,2007.0,Fin,3,789,TA,TA,Y,1
169,Attchd,2004.0,Fin,2,440,TA,TA,Y,1
170,Attchd,1981.0,RFn,2,511,TA,TA,Y,1
171,Detchd,1991.0,Unf,2,660,TA,TA,Y,1
172,Attchd,1960.0,Fin,2,528,TA,TA,P,1
173,Attchd,1987.0,RFn,2,504,Gd,TA,Y,1
174,Attchd,1961.0,Unf,2,504,TA,TA,Y,1
175,Attchd,1986.0,Fin,2,616,TA,TA,Y,1
176,Attchd,1950.0,Unf,2,576,TA,TA,Y,1
177,Attchd,1988.0,Unf,2,521,TA,TA,Y,1
178,Attchd,1958.0,Unf,2,451,TA,TA,Y,1
179,Attchd,2009.0,Fin,3,1166,TA,TA,Y,1
180,Detchd,1935.0,Unf,2,480,Fa,TA,N,1
181,Detchd,2000.0,Unf,2,440,TA,TA,Y,1
182,Detchd,1920.0,Unf,1,216,Fa,TA,Y,1
183,Attchd,1957.0,RFn,1,252,TA,TA,Y,1
184,Detchd,2003.0,Unf,2,484,TA,TA,N,1
185,Attchd,1986.0,Unf,2,576,TA,TA,Y,1
186,Detchd,1993.0,Unf,3,840,Ex,TA,Y,1
187,Attchd,1990.0,Unf,2,497,TA,TA,Y,1
188,Detchd,1916.0,Unf,1,180,Fa,Fa,N,1
189,Detchd,1979.0,Unf,2,528,TA,TA,Y,1
190,Attchd,2001.0,Fin,2,682,TA,TA,Y,1
191,Detchd,1932.0,Unf,2,440,TA,TA,Y,1
192,Attchd,1972.0,Fin,2,484,TA,TA,Y,1
193,Attchd,1999.0,Fin,2,666,TA,TA,Y,1
194,Detchd,2004.0,Unf,2,380,TA,TA,Y,1
195,Detchd,1989.0,Unf,1,352,TA,TA,Y,1
196,Attchd,1976.0,Unf,2,440,TA,TA,Y,1
197,Attchd,2007.0,Fin,3,786,TA,TA,Y,1
198,Detchd,1918.0,Unf,2,795,TA,TA,Y,1
199,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
200,Attchd,2004.0,Fin,3,856,TA,TA,Y,1
201,Attchd,2003.0,RFn,2,440,TA,TA,Y,1
202,Detchd,1980.0,Unf,2,473,TA,TA,Y,1
203,Attchd,1924.0,Unf,1,398,TA,TA,Y,1
204,Attchd,2004.0,RFn,2,420,TA,TA,Y,1
205,Detchd,1948.0,Unf,1,240,TA,TA,Y,1
206,Attchd,1990.0,RFn,2,500,TA,TA,Y,1
207,Attchd,1962.0,RFn,1,349,TA,TA,Y,1
208,Attchd,1960.0,RFn,1,312,TA,TA,Y,1
209,Attchd,1988.0,Fin,2,454,TA,TA,Y,1
210,Attchd,1964.0,RFn,2,504,TA,Gd,Y,1
211,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
212,Attchd,2009.0,RFn,2,460,TA,TA,Y,1
213,Attchd,2009.0,RFn,2,644,TA,TA,Y,1
214,Attchd,1996.0,Unf,2,576,TA,TA,Y,1
215,Attchd,1977.0,Fin,1,299,TA,TA,Y,1
216,Attchd,1957.0,Unf,1,447,TA,TA,Y,1
217,Attchd,2004.0,Unf,2,484,TA,TA,Y,1
218,Detchd,1940.0,Unf,1,210,TA,TA,Y,1
219,Attchd,1939.0,Unf,2,431,TA,TA,Y,1
220,Attchd,2005.0,Fin,2,438,TA,TA,Y,1
221,Attchd,2006.0,RFn,2,675,TA,TA,Y,1
222,BuiltIn,2002.0,RFn,2,390,TA,TA,Y,1
223,Attchd,1975.0,RFn,2,434,TA,TA,Y,1
224,Detchd,1989.0,Unf,2,576,TA,TA,Y,1
225,Attchd,2003.0,Fin,3,968,TA,TA,Y,1
226,Detchd,1991.0,Unf,1,280,TA,TA,Y,1
227,Attchd,1995.0,RFn,3,721,TA,TA,Y,1
228,Detchd,1987.0,Unf,1,280,TA,TA,Y,1
229,Detchd,1974.0,Unf,1,336,TA,TA,Y,1
230,Attchd,2005.0,Fin,2,430,TA,TA,Y,1
231,Attchd,1959.0,RFn,1,312,TA,TA,Y,1
232,Attchd,1995.0,Fin,3,810,TA,TA,Y,1
233,Attchd,1972.0,Unf,1,288,TA,TA,Y,1
234,Attchd,1976.0,Unf,1,308,TA,TA,Y,1
235,BuiltIn,2002.0,Fin,2,440,TA,TA,Y,1
236,Detchd,1971.0,Unf,1,264,TA,TA,Y,1
237,Attchd,2004.0,RFn,2,494,TA,TA,Y,1
238,Attchd,1993.0,RFn,2,457,TA,TA,Y,1
239,Attchd,2007.0,Fin,3,818,TA,TA,Y,1
240,Detchd,1949.0,Unf,1,220,TA,TA,Y,1
241,Attchd,2008.0,RFn,2,750,TA,TA,Y,1
242,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
243,Attchd,1940.0,Unf,1,352,Fa,TA,Y,1
244,Attchd,1980.0,RFn,1,288,TA,TA,Y,1
245,Attchd,1994.0,RFn,2,463,TA,TA,Y,1
246,Attchd,1988.0,Fin,2,604,TA,TA,Y,1
247,Detchd,1910.0,Unf,1,440,Po,Po,Y,1
248,Attchd,1954.0,Unf,2,451,TA,TA,Y,1
249,Attchd,2003.0,RFn,2,500,TA,TA,Y,1
250,Attchd,1958.0,Fin,2,389,TA,TA,Y,1
251,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
252,Attchd,2006.0,Fin,2,538,TA,TA,Y,1
253,Attchd,2004.0,RFn,2,520,TA,TA,Y,1
254,Attchd,1964.0,RFn,1,309,TA,TA,Y,1
255,Attchd,1957.0,RFn,1,294,TA,TA,Y,1
256,BuiltIn,1999.0,Fin,2,429,TA,TA,Y,1
257,Attchd,2003.0,RFn,2,673,TA,TA,Y,1
258,Attchd,2006.0,RFn,2,660,TA,TA,Y,1
259,Attchd,2001.0,RFn,2,564,TA,TA,Y,1
260,Detchd,1956.0,Unf,1,308,TA,TA,Y,1
261,Attchd,1991.0,Unf,2,884,TA,TA,Y,1
262,BuiltIn,2007.0,Fin,3,868,TA,TA,Y,1
263,Attchd,1978.0,Unf,2,492,TA,TA,Y,1
264,Detchd,1974.0,Unf,2,484,TA,TA,Y,1
265,Detchd,1965.0,Unf,2,504,TA,TA,N,1
266,Attchd,1981.0,Fin,2,576,TA,TA,Y,1
267,Attchd,1997.0,Fin,2,413,TA,TA,Y,1
268,Detchd,1939.0,Unf,1,240,TA,TA,Y,1
269,Detchd,1966.0,Fin,1,924,Ex,Ex,Y,1
270,Attchd,1987.0,RFn,1,504,TA,Gd,Y,1
271,Attchd,2006.0,RFn,3,1053,TA,TA,Y,1
272,Attchd,1954.0,Unf,2,439,TA,TA,Y,1
273,Attchd,1999.0,Fin,3,671,TA,TA,Y,1
274,Attchd,1958.0,RFn,1,338,TA,TA,Y,1
275,Attchd,1982.0,Unf,1,264,TA,TA,Y,1
276,Detchd,1978.0,Unf,2,672,TA,TA,Y,1
277,Attchd,2003.0,Fin,2,573,TA,TA,Y,1
278,Detchd,1951.0,Unf,2,400,TA,TA,Y,1
279,Attchd,2007.0,Fin,3,732,TA,TA,Y,1
280,Attchd,1977.0,Fin,2,505,TA,TA,Y,1
281,Attchd,1989.0,Fin,2,575,TA,TA,Y,1
282,Attchd,2006.0,Fin,2,572,TA,TA,Y,1
283,Attchd,2008.0,RFn,2,626,TA,TA,Y,1
284,Attchd,2008.0,Fin,3,898,TA,TA,Y,1
285,Attchd,1992.0,RFn,2,529,TA,TA,Y,1
286,Detchd,2006.0,RFn,2,528,TA,TA,Y,1
287,Attchd,1962.0,RFn,2,440,TA,TA,Y,1
288,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
289,Detchd,1970.0,Unf,1,280,TA,TA,Y,1
290,Detchd,2003.0,Unf,1,384,TA,TA,Y,1
291,Attchd,2006.0,RFn,2,685,Gd,TA,Y,1
292,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
293,Attchd,1949.0,Unf,1,281,TA,TA,Y,1
294,Attchd,1977.0,Fin,2,539,TA,TA,Y,1
295,Attchd,1953.0,Fin,2,418,TA,TA,Y,1
296,Detchd,1984.0,Unf,2,588,TA,TA,Y,1
297,Attchd,1950.0,Unf,1,282,TA,TA,Y,1
298,Detchd,1997.0,RFn,2,576,TA,TA,Y,1
299,Attchd,1968.0,Unf,2,539,TA,TA,Y,1
300,Attchd,1950.0,Unf,1,300,TA,TA,Y,1
301,Attchd,1953.0,Unf,1,375,TA,TA,Y,1
302,BuiltIn,1998.0,Fin,2,683,TA,TA,Y,1
303,Attchd,2001.0,RFn,3,843,TA,TA,Y,1
304,Attchd,1975.0,Unf,2,552,TA,TA,Y,1
305,Attchd,2003.0,Unf,3,870,TA,TA,Y,1
306,Attchd,2004.0,Fin,3,888,TA,TA,Y,1
307,Attchd,1990.0,RFn,3,746,TA,TA,Y,1
308,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
309,Detchd,1961.0,Unf,2,539,TA,TA,Y,1
310,Attchd,2003.0,Fin,3,708,TA,TA,Y,1
311,Attchd,1993.0,Fin,2,420,TA,TA,Y,1
312,Detchd,1948.0,Unf,1,240,TA,TA,Y,1
313,Detchd,1939.0,Unf,2,410,TA,TA,Y,1
314,Attchd,1965.0,RFn,2,513,TA,TA,Y,1
315,Detchd,1925.0,Unf,2,546,Fa,TA,Y,1
316,Attchd,2004.0,Fin,2,432,TA,TA,Y,1
317,Attchd,1983.0,RFn,2,484,TA,TA,Y,1
318,Attchd,2006.0,RFn,3,1025,TA,TA,Y,1
319,Attchd,1993.0,RFn,3,656,TA,TA,Y,1
320,Attchd,1980.0,Unf,2,588,TA,TA,Y,1
321,Attchd,2006.0,RFn,3,840,TA,TA,Y,1
322,BuiltIn,2004.0,Fin,3,872,TA,TA,Y,1
323,Attchd,1987.0,Fin,2,576,TA,TA,Y,1
324,Attchd,1955.0,Unf,1,220,Fa,TA,Y,1
325,BuiltIn,1961.0,Fin,2,564,TA,TA,Y,1
326,Detchd,1941.0,Unf,2,360,TA,TA,Y,1
327,Attchd,1993.0,Fin,2,473,TA,TA,Y,1
328,Attchd,1960.0,RFn,1,292,TA,TA,Y,1
329,Detchd,1930.0,Unf,2,441,TA,TA,Y,1
330,Detchd,1920.0,Unf,1,189,Fa,Fa,N,1
331,Detchd,2002.0,Unf,1,352,TA,TA,Y,1
332,Attchd,1958.0,RFn,1,308,TA,TA,Y,1
333,Attchd,2003.0,RFn,3,880,TA,TA,Y,1
334,Attchd,2004.0,RFn,2,484,TA,TA,Y,1
335,Attchd,1998.0,Fin,2,472,TA,TA,Y,1
336,Attchd,1965.0,Fin,2,529,TA,TA,Y,1
337,Attchd,2005.0,Fin,3,676,TA,TA,Y,1
338,Attchd,2002.0,RFn,2,532,TA,TA,Y,1
339,Attchd,1984.0,RFn,2,440,TA,TA,Y,1
340,Attchd,1958.0,Unf,1,297,TA,TA,Y,1
341,Attchd,2002.0,Fin,2,431,TA,TA,Y,1
342,CarPort,1950.0,Unf,1,294,TA,TA,N,1
343,Detchd,1949.0,Unf,2,400,TA,TA,Y,1
344,Attchd,2005.0,RFn,2,564,TA,TA,Y,1
345,Attchd,1976.0,Unf,1,336,TA,TA,Y,1
346,Detchd,1939.0,Unf,1,312,TA,TA,Y,1
347,Attchd,1960.0,RFn,1,301,TA,TA,Y,1
348,Attchd,1960.0,Unf,2,498,TA,TA,Y,1
349,BuiltIn,2003.0,RFn,2,474,TA,TA,Y,1
350,Attchd,2006.0,Fin,3,706,TA,TA,Y,1
351,Attchd,2007.0,RFn,2,617,TA,TA,Y,1
352,Attchd,1986.0,RFn,2,445,TA,TA,Y,1
353,Detchd,1941.0,Unf,1,200,TA,Fa,Y,1
354,Detchd,2005.0,Unf,2,484,TA,TA,Y,1
355,Attchd,1940.0,Unf,1,240,TA,TA,Y,1
356,Attchd,1995.0,RFn,2,521,TA,TA,Y,1
357,Attchd,1992.0,RFn,2,400,TA,TA,Y,1
358,Attchd,1976.0,Fin,2,528,TA,TA,Y,1
359,BuiltIn,1958.0,Unf,1,288,TA,TA,Y,1
360,Attchd,1998.0,RFn,2,592,TA,TA,Y,1
361,Attchd,1978.0,RFn,2,470,TA,TA,Y,1
362,Detchd,1940.0,Unf,1,240,TA,TA,N,1
363,BuiltIn,2003.0,RFn,2,672,TA,TA,Y,1
364,Detchd,1972.0,Unf,1,264,TA,TA,Y,1
365,Attchd,1976.0,Fin,2,566,TA,TA,Y,1
366,Detchd,1964.0,Unf,1,468,TA,Fa,Y,1
367,Attchd,1963.0,RFn,2,514,TA,TA,Y,1
368,Basment,1962.0,RFn,1,296,TA,TA,Y,1
369,Attchd,1954.0,Fin,1,244,TA,TA,Y,1
370,Detchd,1997.0,Fin,2,576,TA,TA,Y,1
371,Attchd,2000.0,RFn,2,460,TA,TA,Y,1
372,Detchd,1991.0,Fin,2,680,TA,TA,N,1
373,Attchd,1984.0,Unf,1,264,TA,TA,Y,1
374,Attchd,1953.0,Unf,1,270,TA,TA,Y,1
375,BuiltIn,2003.0,Fin,2,434,TA,TA,Y,1
376,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
377,Detchd,1998.0,Unf,2,576,TA,TA,Y,1
378,Attchd,2004.0,RFn,2,610,TA,TA,Y,1
379,Attchd,2010.0,Fin,3,834,TA,TA,Y,1
380,Attchd,2000.0,Fin,2,463,TA,TA,Y,1
381,Detchd,1924.0,Unf,1,308,TA,TA,Y,1
382,Attchd,2006.0,RFn,2,572,TA,TA,Y,1
383,Attchd,2006.0,RFn,2,639,TA,TA,Y,1
384,Detchd,1950.0,Unf,2,360,Fa,Fa,N,1
385,Attchd,1992.0,Fin,2,501,TA,TA,Y,1
386,Attchd,2004.0,Fin,2,430,TA,TA,Y,1
387,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
388,Detchd,1977.0,Unf,1,352,TA,TA,Y,1
389,Attchd,1999.0,RFn,2,577,TA,TA,Y,1
390,BuiltIn,2008.0,Fin,3,846,TA,TA,Y,1
391,Detchd,1978.0,Unf,1,384,TA,TA,Y,1
392,BuiltIn,2001.0,Fin,2,560,TA,TA,Y,1
393,Attchd,1959.0,RFn,1,294,TA,TA,Y,1
394,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
395,Detchd,1940.0,Unf,1,240,TA,TA,Y,1
396,Attchd,1956.0,Unf,1,596,TA,TA,Y,1
397,Detchd,1985.0,RFn,2,600,TA,TA,Y,1
398,Attchd,1962.0,RFn,1,264,TA,TA,Y,1
399,Detchd,1920.0,Unf,1,338,Po,Po,N,1
400,Attchd,2007.0,Fin,2,438,TA,TA,Y,1
401,Attchd,1996.0,Fin,2,500,TA,TA,Y,1
402,Attchd,2005.0,Fin,2,400,TA,TA,Y,1
403,Detchd,1940.0,Unf,1,240,TA,TA,N,1
404,BuiltIn,1998.0,Fin,2,420,TA,TA,Y,1
405,BuiltIn,1995.0,Fin,2,373,TA,TA,Y,1
406,Attchd,1993.0,Unf,2,490,TA,TA,Y,1
407,Detchd,1936.0,Unf,1,240,TA,TA,Y,1
408,Attchd,1960.0,Unf,1,308,TA,TA,Y,1
409,Attchd,2006.0,RFn,3,947,TA,TA,Y,1
410,Attchd,2008.0,Fin,3,836,TA,TA,Y,1
411,Attchd,1958.0,Unf,1,350,TA,TA,Y,1
412,Attchd,1955.0,Fin,2,572,TA,TA,Y,1
413,Attchd,2009.0,Fin,2,484,TA,TA,Y,1
414,Detchd,1927.0,Unf,2,360,TA,TA,Y,1
415,Attchd,1993.0,Unf,3,678,TA,TA,Y,1
416,Attchd,2007.0,Fin,2,396,TA,TA,Y,1
417,Attchd,1978.0,Fin,2,440,TA,TA,Y,1
418,Detchd,1918.0,Unf,3,864,TA,TA,N,1
419,Detchd,1940.0,Unf,1,240,TA,TA,P,1
420,Attchd,1968.0,Unf,1,304,TA,TA,Y,1
421,Attchd,1997.0,Fin,4,784,TA,TA,Y,1
422,Attchd,1977.0,Fin,2,529,TA,TA,Y,1
423,Attchd,1954.0,RFn,2,520,TA,TA,N,1
424,Attchd,1998.0,Fin,3,696,TA,TA,Y,1
425,Attchd,1956.0,RFn,1,297,TA,TA,Y,1
426,Detchd,1947.0,Unf,1,240,TA,TA,P,1
427,Attchd,1989.0,Fin,2,569,TA,TA,Y,1
428,Detchd,1964.0,Unf,1,352,TA,TA,Y,1
429,Attchd,2007.0,RFn,2,628,TA,TA,Y,1
430,Attchd,1988.0,Unf,2,576,TA,TA,Y,1
431,Detchd,1971.0,Unf,1,264,TA,TA,Y,1
432,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,N,0
433,Detchd,1971.0,Unf,2,440,TA,TA,Y,1
434,Attchd,1997.0,Fin,2,470,TA,TA,Y,1
435,No_Feature,0.0,No_Feature,0,0,No_Feature,No_Feature,Y,0
436,Attchd,1996.0,RFn,2,550,TA,TA,Y,1
437,Detchd,1990.0,Unf,2,440,TA,TA,Y,1
438,Detchd,1926.0,Unf,1,180,TA,TA,Y,1
